2019 Progressive Rock Albums,,Releases:,364,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
/u/FranticDav
/u/Faceless_Aeons
/u/tapestrymusicpodcast
/u/ickybus",,Images & Words: The Prog Discord,,,,,
Steve Hackett,At The Edge Of Light,January 25,LP,"Prog-rock, Guitar virtuoso",Instru./Clean,"London, England",,S,GP,YT,Az,🍎
The Black Fall,Clear Perception,January 25,LP,"Prog-rock, Heavy prog",Clean,"Enschede, Netherlands",BC,S,,,,🍎
The Neal Morse Band,The Great Adventure,January 25,2xLP,"Prog-rock, Symphonic, Heavy rock",Clean,"Nashville, TN",,,,,,🍎
The Writhing Squares,Out of the Ether,January 25,LP,"Prog-rock, Space Rock, King Gizzard-like",Clean,"Philadelphia, PA",BC,S,GP,YT,Az,🍎
Vangelis,Nocturne: The Piano Album,January 25,LP,"Prog-rock, Piano",Instrumental,"Agria, Greece",,,GP,,Az,🍎
Red Bazar,Things As They Appear,January 26,LP,"Prog-rock, Neo-prog",Clean,"Nottingham, England",BC,S,,,,
Long Hallways,Close Your Eyes to Travel,January 27,LP,"Prog-rock, Post-rock, Jazz Fusion",Instrumental,"Portland, OR",BC,S,GP,YT,Az,🍎
Nuno Bernardes Vilabril,Flatline,January 28,LP,"Prog-rock, Heavy rock, Virtuoso, Quasi metal",Instrumental,Germany,,,,YT,Az,🍎
Protomythos,Heavy Crowns,January 28,LP,"Prog-rock, Heavy prog",Clean,"Tel Aviv, Israel",BC,S,GP,YT,Az,🍎
Electric Asturias,Trinity,January 30,LP,"Prog-rock, Neo-prog, Jazz",Instrumental,Japan,,,,,,
Lebowski,Galactica,January 31,LP,Prog-rock,Instrumental,"Szczecin, Poland",,S,,YT,Az,🍎
Caution Step,Caution Step,February 1,LP,"Prog-rock, Jazz, Fusion, Psychedelic",Clean,"Athens, OH",BC,,,,Az,🍎
"David Torn, Tim Berne, Ches Smith",Sun of Goldfinger,February 1,LP,"Prog-rock, Fusion, Ambient",Instrumental,USA,,S,,,,🍎
Free Human Zoo,No Wind Tonight...,February 1,LP,"Prog-rock, Jazz, Zheul",Instrumental,France,,,GP,,Az,🍎
Graham Costello's Strata,Obelisk,February 1,LP,"Prog-rock, Jazz, Groove, Minimalist",Instrumental,"Glasgow, Scotland",BC,S,GP,YT,Az,🍎
More Human Than Human,Re-Evolution,February 1,LP,"Prog-rock, Heavy rock",Clean,"Ellenville, NY",,S,GP,YT,Az,🍎
Mörglbl,The Story Of Scott Rötti,February 1,LP,"Prog-rock, Jazz, Hard rock, Fusion",Instrumental,"Annecy, France",BC,S,GP,YT,Az,🍎
Mythopoeic Mind,Mythopoetry,February 1,LP,"Prog-rock, Symphonic",Instrumental,"Oslo, Norway",BC,S,GP,YT,Az,🍎
Oblivion Her Majesty,Hopeless Masterminds,February 1,LP,"Prog-rock, Alternative, Experimental, Electronic",Clean,"Philadelphia, PA",BC,S,,,Az,🍎
Quantum Pig,Songs Of Industry And Sunshine,February 1,LP,"Prog-rock, Hard rock, Pop",Clean,"London, England",,S,GP,YT,Az,🍎
The Emerald Dawn,Nocturne,February 1,LP,"Prog-rock, Symphonic",Clean,"St. Ives, England",BC,,,,,
The Last Detail,At Last... The Tale and Other Stories,February 1,LP,"Prog-rock, Neo-prog",Clean,Netherlands,BC,S,,,,🍎
TR3,The Sea Versus the Mountain,February 1,LP,"Prog-rock, Experimental, Jam",Instrumental,NC,,S,,,Az,🍎
Tyler Kamen,Transformation,February 1,LP,"Prog-rock, Folk, Psychedelic, Indie",Clean,"New York, NY",BC,S,GP,YT,Az,🍎
Εμβρυο,Κυκλικά Ερείπια,February 1,LP,"Prog-rock, Symphonic, Ambient",Instrumental,"Αθήνα, Greece",,S,,,Az,🍎
Not for Pussies,Into the East,February 2,LP,"Prog-rock, Alternative, Atmospheric",Clean,"Perth, Scotland",BC,,,,,
The Id,Ido - Book 2,February 2,LP,"Prog-rock, Neo-prog",Clean,International,BC,,,,,
habelard2,Il dado è tratto,February 3,LP,"Prog-rock, RPI, Experimental, Electronic",Instrumental,"Milan, Italy",BC,S,,,,🍎
Margins of Society,On the Edge,February 3,LP,"Prog-rock, Hard rock, Alt-rock",Clean,"Atlanta, GA",,S,GP,YT,Az,🍎
Dhvani,Angustium,February 4,LP,"Prog-rock, Psychedelic",Instrumental,"Genoa, Italy",BC,,,,,
Grand Tour,Clocks That Tick (But Never Talk),February 4,LP,"Prog-rock, Neo-prog",Clean,"Glasgow, Scotland",BC,,,,,
Eminence Ensemble,Real News,February 5,LP,"Prog-rock, Fusion, Jam",Clean,"Boulder, CO",BC,S,,,Az,🍎
Valensia,7EVE7,February 6,LP,"Prog-rock, Neo-prog, Soundtrack, Pop, Eclectic",Clean,"Den Haag, Netherlands",,,,,,🍎
Michel Héroux,Now,February 7,LP,"Prog-rock, Fusion, Improv, Jazz",Instrumental,"Montréal, QC",,S,GP,,Az,🍎
Karina Madeya,Sketchbook,February 10,LP,"Prog-rock, Acoustic, Indie, Alternative",Clean,"Moscow, Russia",,S,,,,🍎
Haiku Project,Hikaru Beyond the Skyline,February 11,LP,"Prog-rock, Experimental, Math rock",Instrumental,"Valencia, Venezuela",BC,S,GP,,Az,🍎
Karfagen,Echoes from Within Dragon Island,February 11,2xLP,"Prog-rock, Symphonic, Operatic",Clean," Kharkiv, Ukraine",BC,S,GP,YT,Az,🍎
The Spacious Mind,The No. 4 Or 5 Gravy Band,February 11,LP,"Prog-rock, Psychedelic, Acid",Clean,Sweden,,,,,,
Syrinx,"Embrace the Dark, Seek the Light",February 12,LP,"Prog-rock, Heavy-prog, Psychedelic",Mixed,"Vancouver, BC",BC,S,,,,🍎
Disen Gage,The Big Adventure,February 14,LP,"Prog-rock, Experimental, Avant-garde",Instrumental,"Moscow, Russia",BC,S,,,,🍎
Skylake,In Orbit,February 14,LP,"Prog-rock, Alt-rock",Clean,"Utrecht, Netherlands",BC,S,,,Az,🍎
Børge Olsen,Ultimate Fingers,February 15,LP,"Prog-rock, Jazz rock, Virtuoso",Instrumental,Norway,,S,GP,YT,Az,🍎
Cabinets of Curiosity,The Chaos Game,February 15,LP,"Prog-rock, Math Rock, Avant-garde",Clean,"Mansfield, NJ",BC,S,GP,YT,Az,🍎
Cheeto's Magazine,Amazingous,February 15,LP,"Prog-rock, Eclectic",Clean,"Barcelona, Spain",BC,S,GP,YT,Az,🍎
Fernando Perdomo,Out to Sea 2,February 15,LP,Prog-rock,Instru./Clean,"Miami, FL",BC,S,GP,YT,Az,🍎
Motorpsycho,The Crucible,February 15,LP,"Prog-rock, Psychedelic",Instru./Clean,"Trondheim, Norway",,S,,,Az,🍎
Skraeckoedlan,Eorþe,February 15,LP,"Prog-rock, Stoner, Psychedelic",Clean,Sweden,,S,,,,🍎
Sleeping Pandora,Yellow Sphere,February 15,LP,"Prog-rock, Psychedelic, Space, Kraut",Instrumental,"Berlin, Germany",BC,S,,,,🍎
The Tronosonic Experience,II: The Big Blow,February 15,LP,"Prog-rock, Punk Jazz, Fusion",Instrumental,"Oslo, Norway",,S,GP,YT,Az,🍎
Xorcuayabi,Xorcuayabi,February 15,LP,"Eclectic Prog, Hard rock",Mixed,Chile,,S,GP,YT,Az,🍎
Approaching the Silence,On These Shores,February 16,LP,"Prog-rock, Neo-prog",Clean,"New Haven, CT",,S,GP,YT,Az,🍎
Organic Reaction,The Creation Day,February 16,EP,"Prog-rock, Heavy Rock",Clean,Brazil,,S,,,,
Wednesday Call,Behind the Beyond,February 19,LP,"Prog-rock, Heavy rock, Electronic, Psychedelic",Clean,Iran,,S,,,,🍎
Callooh Callay,Astonishing Flow Of Time,February 21,LP,"Prog-rock, Symphonic",Clean,"Holbrook, NY",,S,,,,🍎
Laeds,Homestage,February 21,LP,"Prog-rock, Alternative, Riverside-esque",Clean,"Bressanone, Italy",,S,,,,🍎
Gaspard,La forêt de Gaspard,February 22,LP,"Prog-rock, Psychedelic, Post-rock",Instrumental,"Montreal, QC",BC,S,,,,🍎
Kunges Män,CHEF,February 22,LP,"Prog-rock, Experimental, Drone, Space, Psychedelic, Kraut",Instrumental,"Stockholm, Sweden",BC,,,,,🍎
My Tin Apple,The Door,February 22,LP,"Prog-rock, Alternative, Hard rock",Clean,"Siena, Italy",,S,,,,🍎
O.R.k.,Ramagehead,February 22,LP,"Prog-rock, Alt-rock, Psychedelia, Electronic",Instru./Clean,"London, England",,S,GP,YT,Az,
Professor Tip Top,Hybrid Hymns,February 22,LP,"Prog-rock, Psychedelic",Clean,"Bergen, Norway",,S,GP,YT,Az,
Red Eye,Tales From The Days Of Yore,February 22,LP,"Prog-rock, Psychedelic, Doom, Stoner",Clean,"Antequera, Spain",BC,S,GP,YT,,
Rhys Marsh,October After All,February 22,LP,"Prog-rock, Atmospheric, Pop",Instru./Clean,"Trondheim, Norway",BC,S,GP,YT,Az,
Sawce,Bedtime Stories,February 22,EP,"Prog-rock, Math rock",Instrumental,"Jersey City, NJ",BC,S,GP,YT,Az,
The Claypool Lennon Delirium,South of Reality,February 22,LP,"Prog-rock, Psychedelic, Garage, Primus-related",Clean,International,,S,,YT,Az,
The Room,Caught By The Machine,February 22,LP,"Prog-rock, AOR, Melodic prog",Clean,"London, England",,S,GP,,Az,
The Wrong Object,Into The Herd,February 22,LP,"Prog-rock, Jazz Fusion",Instrumental,"Liège, Belgium",,S,GP,YT,Az,
The Dave Foster Band,Nocebo,February 23,LP,"Prog-rock, Neo-prog, Heavy prog",Clean,England,BC,,,,,
Elspeth Meadow,Elspeth Meadow,February 24,LP,"Prog-rock, Symphonic, Ambient",Instru./Clean,"West Yorkshire, England",BC,,,,,
Sid Vision,Feverish,February 24,LP,"Prog-rock, Psychedelic",Clean,"Berlin, Germany",BC,,,,,
Duncan MacKay,Kintsugi,February 25,LP,"Prog-rock, Symphonic",Clean,"Cape Town, South Africa",,,,,,
Hhoogg,"Earthling, Go Home!",February 25,LP,"Prog-rock, Psychedelic, Electronic, Blues, Doom",Instrumental,"Boston, MA",BC,S,,,,
Doug the Eagle,Illiath the Barbarian,February 26,LP,"Prog-rock, Alternative, One-man-band",Clean,"Cwmbran, Wales",BC,,,,,
Bees Made Honey in the Vein Tree,Grandmother,February 28,LP,"Prog-rock, Doom, Psychedelic, Post-rock, Stoner, Shoegaze",Instru./Clean,"Stuttgart, Germany",BC,,,,,
Kinetic Element,The Face of Life ,February 28,LP,"Prog-rock, Symphonic",Clean,"Richmond, VA",BC,S,,YT,Az,
MoodMan,Man of the New Age,February 28,LP,"Prog-rock, Singer-songwriter",Clean,"Poznań, Poland",,S,,,,
Caravela Escarlate,Rascunho,March 1,LP,"Prog-rock, Symphonic, Traditional, Keyboard-driven",Clean,"Rio de Janeiro, Brazil",BC,S,,YT,Az,
Consider the Source,You Are Literally A Metaphor,March 1,LP,"Prog-rock, Jazz, Fusion, Eclectic, Oriental",Instrumental,"New York, NY",BC,S,,YT,Az,
Eris Pluvia,Tales from Another Time,March 1,LP,"Prog-rock, Symphonic, RPI",Clean,"Genova, Italy",,S,,,Az,
Identikit,Mind's Eye Meteorology,March 1,LP,"Prog-rock, Jazz, Fusion, Experimental",Instru./Clean,"Atlanta, GA",BC,S,,YT,Az,
Mauricio Ibáñez,A Dream Inside of a Dream,March 1,LP,"Prog-rock, Alternative, Melancolic, Heavy-prog, Pop",Instru./Clean,"Santiago, Chile",BC,S,,,,
On The Raw,Climbing The Air,March 1,LP,"Prog-rock, Jazz, Fusion",Clean,"Barcelona, Spain",,S,,,,
Pulsonica,Entre Mundos,March 1,LP,"Prog-rock, Folk, Fusion, Afrolatin",Instrumental,"Buenos Aires, Argentina",BC,S,,,,
ReFrame,Reaching Revery,March 1,LP,"Prog-rock, Heavy prog",Clean,"Memphis, TN",BC,S,,,,
The Inner Road,The Majestic Garden,March 1,LP,"Prog-rock, Symphonic",Instru./Clean,UK,BC,,,,,
The Prophets of Zarquon,Eternal Skies,March 1,LP,"Prog-rock, Neo-prog, Fleetwood Mac?",Clean,UK,,S,,YT,Az,
Tim Bowness,Flowers At The Scene,March 1,LP,"Prog-rock, Post-rock",Clean,"Latchford, England",,S,,YT,Az,
Vágar,The Inner Eye - Part One,March 1,LP,"Prog-rock, Melodic",Clean,"Montreal, QC",BC,S,,YT,Az,
Paul D'Adamo,Rawfully Organic,March 2,LP,"Prog-rock, Symphonic, Tribute",Clean,"Dallas, TX",,S,,,,
Diemand in the Rough,Wellspring,March 3,LP,"Prog-rock, Heavy prog, Folk, One-man-band",Instrumental,"Boulder, CO",,S,,YT,,
Corporesano,Corporesano,March 5,LP,"Prog-rock, RPI, Religious",Clean,Italy,BC,,,,,
Onioroshi,Beyond These Mountains,March 6,EP,"Prog-rock, psychedelic, space rock",Clean,"Cervia, Italy",BC,S,,YT,Az,
Stratus Luna,Stratus Luna,March 7,LP,"Prog-rock, Jazz, Psychedelic, World Music",Instrumental,"São Paulo, Brazil",BC,S,,,,
Amalgam Effect,Sketches,March 8,LP,"Prog-rock, Symphonic, Heavy rock",Clean,"Denver, CO",BC,S,,,,
Childspeak,Indulgent Endeavors,March 8,LP,"Prog-rock, Post-rock, Math rock, Ambient, Alternative",Instru./Clean,"Eugene, OR",BC,S,,,,
Home Brewed Universe,Instances,March 8,LP,"Prog-rock, Alternative, Indie, Space, Post",Instrumental,"Hyderabad, India",BC,S,,,,
Nik Turner,The Final Frontier,March 8,LP,"Prog-rock, Psychedelic, Space rock",Clean,England,BC,S,,,,
Pan Rocks,Pan Rocks Rush (tribute),March 8,EP,"Prog-rock, Tropical, Steelpan",Instrumental,USA,,S,,,Az,
Fungus Family,The Key of the Garden,March 9,LP,"Prog-rock, Hard rock, Folk, Psychedelic",Clean,"Genova, Italy",BC,S,,,,
Kombo C,Petelin iz Noznega,March 9,LP,"Prog-rock, Fusion, Jazz",Instrumental,"Nova Gorica, Slovenia",BC,,,,,
Anubis Spire,White Crow,March 11,LP,"Prog-rock, Post Prog, Oriental",Clean,"Greene, NY",BC,S,,,,
Machines Dream,Revisionist History,March 11,LP,"Prog-rock, Neo-prog",Clean,"Sault Ste. Marie, ON",BC,S,,,,
Wolves on the Ithaca Skyline,Shrapnel and Bone,March 11,LP,"Prog-rock, Alternative",Clean,"London, England",,S,,,,
Fleesh,Across the Sea,March 13,LP,"Prog-rock, Heavy-prog, Alternative, Neo-prog",Clean,Brazil,BC,S,,,,
Gill Steinbacher Project,Svengali,March 13,LP,"Prog-rock, Space-rock, Heavy Prog, Industrial",Clean,UK,,S,,,,
Subaltern Project,A Vision in Exile,March 13,LP,"Prog-rock, Heavy prog, Alternative, Post, Shoegaze",Clean,"Lancaster, PA",BC,S,,,,
Twenty 81,Farewell My World,March 13,LP,"Prog-rock, Post-hardcore, Experimental, Psychedelic",Mixed,"Las Vegas, NV",BC,S,,,,
Zerothehero,Nobody,March 14,LP,"Prog-rock, Ambient, Soundscape, Experimental, Space, Psychedelia",Instrumental,"Genova, Italy",BC,,,,,
Crossfade,Carousel,March 15,LP,"Prog-rock, AOR",Clean,"Skövde, Sweden",,S,,,,
In These Murky Waters,In These Murky Waters,March 15,LP,"Prog-rock, Atmospheric, Post",Clean,"Stockholm, Sweden",,S,,,,
Joost Maglev,Alter Ego,March 15,LP,"Prog-rock, Pop",Instru./Clean,Netherlands,BC,S,,,Az,
Jorodu,Jorodu,March 15,LP,"Prog-rock, Jazz, Fusion, Funk",Instrumental,"Miami, FL",BC,S,,,,
Le Orme,Sulle ali di un sogno,March 15,LP,"Prog-rock, RPI",Clean,"Venice, Italy",,S,,YT,Az,
Snarky Puppy,Immigrance,March 15,LP,"Prog-rock, Nu-jazz, Jazz Fusion",Instrumental,"Brooklyn, NY",,S,,YT,Az,
The Ben Phelps Project,Wake Up The Guards,March 15,LP,"Prog-Rock, Funk, R&B, Soul ",Clean,"Hampton Roads, VA",,S,,,,
The Cinematic Orchestra,To Believe,March 15,LP,"Prog-rock, Nu-jazz, Jazz Fusion",Instrumental,"Manchester, England",BC,S,,YT,Az,
Maybe,Maybe,March 18,LP,"Prog-rock, Symphonic, Jazz",Instrumental,"Buenos Aires, Argentina",BC,S,,,,
Cellar Darling,The Spell,March 22,LP,"Prog-rock, Folk",Clean,"Lucerne, Switzerland",,S,GP,,Az,
Cykada,Cykada,March 22,LP,"Prog-rock, Jazz Fusion, Electronic, Afrobeat",Instrumental,"London, England",BC,S,,,,
Fervent Mind,Tranquilize,March 22,LP,"Prog-rock, Post-rock, Alt-rock",Clean,"Oslo, Norway",BC,S,,YT,Az,
Grice,One Thousand Birds,March 22,LP,"Prog-rock, Singer-songwriter, Alt-rock, Experimental",Clean,"London, England",BC,S,,,Az,
Kuhn Fu,Chain the Snake,March 22,LP,"Prog-rock, Punk, Jazz, Alternative, Psychedelic",Clean,"Groningen, Netherlands",BC,S,,,,
Monograf,Nadir,March 22,LP,"Prog-rock, Post-rock, Folk",Clean,"Oslo, Norway",BC,S,,,,
Mother of Millions,Artifacts,March 22,LP,"Prog-rock, Alt-metal",Clean,"Athens, Greece",BC,S,,YT,Az,
Robert Machado,The Feast,March 22,LP,"Prog-rock, Alternative, Psychedelic",Clean,"Atlanta, GA",,S,,,,
RPWL,Tales From Outer Space,March 22,LP,"Prog-rock, Neo-prog, Sympohnic",Clean,"Munich, Germany",,S,,YT,Az,
t,Solipsystemology,March 22,LP,"Prog-rock, Neo-prog",Clean,"Hannover, Germany",,S,,,,
The Mute Gods,Atheists and Believers,March 22,LP,"Prog-rock, Heavy rock",Instru./Clean,International,,S,,YT,Az,
Trojka,Tre Ut,March 22,LP,"Prog-rock, Pop, Electronic",Clean,"Bergen, Norway",,S,,,Az,
Ultra Zook,Ultra Zook,March 22,LP,"Prog-rock, RIO, Avant-prog, Alternative, Experimental, Tropical",Clean,"Clermont-Ferrand, France",BC,S,,,,
3rd Ear Experience with Dr Space,From Ear To Space,March 23,LP,"Prog-rock, Space rock",Instrumental,"Hamburg, Germany",,,,,,
Cedith,Dawn of Man,March 23,LP,"Prog-metal/rock, Stoner rock, Psychedelic",Clean,"Istanbul, Turkey",BC,S,GP,YT,Az,
High Spy,The Code,March 24,LP,"Prog-rock, Neo-prog",Clean,"Staffordshire, England",BC,,,,,
The Hare and Hoofe,The Hare and Hoofe,March 24,LP,"Prog-rock, Psychedelic, Folk, Space rock, Horror",Clean,"London, England",BC,,,,,
prototypeLAB,Mea Culpa,March 25,LP,"Prog-rock, Experimental",Clean,Italy,BC,,GP,YT,Az,
Dan Barracuda,Wavelength,March 26,LP,"Prog-rock, Acoustic, Psychedelic, Alternative",Clean,"Boston, MA",BC,S,,,,
Conqueror,In Orbita,March 27,LP,"Prog-rock, RPI",Clean,"Sicily, Italy",,S,,,,
Isles of Aura,The Grand Allure,March 27,LP,"Prog-rock, Alternative, Djent-ish lite",Clean,"Rockford, IL",,S,,,,
Driftglass,World of Conversation,March 28,LP,"Prog-rock, Heavy rock",Clean,"Toronto, ON",BC,S,,,,
Last Flight to Pluto,A Drop in the Ocean,March 28,LP,"Prog-rock, Neo-prog, Rush-oriented",Clean,England,,,,,,
