2018 Progressive Metal/Rock Albums,,Releases:,292,"Sort Alphabetically by Artist: 
Data -> Filter views... -> Artist - Alphabetical
By Vocal Style:
Filter views... -> Vocal Style - Alphabetical",,,,,,,
Ostura,The Room,February 23,LP,"Prog-metal, Power metal, Symphonic, Cinematic",Clean,Lebanon,,S,GP,YT,A
Poem,Unique,February 23,LP,"Prog-metal/rock, Alt-metal",Mixed,"Athens, Greece",BC,S,GP,,A
Usurpress,Interregnum,February 23,LP,"Death metal, Prog-metal/rock, Doom metal, Sludge metal",Mixed,"Uppsala, Sweden",BC,S,GP,YT,A
The Mourning,Theosis,February 24,EP,Prog-metal/rock,Clean,"Tampa, FL",BC,S,GP,YT,A
Æthĕrĭa Conscĭentĭa,Tales From Hydhradh,February 28,LP,"Prog-metal, Avant-garde metal, Black metal",Harsh,"Nantes, France",BC,,,,
Sleep In Heads,On the Air,March 1,LP,Prog-rock/metal,Clean,"Kiev, Ukraine",BC,S,GP,,A
Ange,Heureux !,March 2,LP,Symphonic Prog-rock,Clean,France,,S,GP,YT,A
Mile Marker Zero,The Fifth Row,March 2,LP,Prog-rock/metal,Clean,"New Haven, CT",BC,S,GP,YT,A
Oceans of Slumber,The Banished Heart,March 2,LP,"Prog-metal, Doom metal",Mixed,"Houston, TX",,S,GP,YT,A
Rolo Tomassi,Time Will Die and Love Will Bury It,March 2,LP,"Post-hardcore, Mathcore, Prog-rock",Mixed,UK,BC,S,GP,YT,A
Slugdge,Esoteric Malacology,March 2,LP,"Prog-metal, Sludge metal, Blackened Death metal",Mixed,"Lancashire, UK",BC,S,GP,YT,A
Snakefeast,"In Chaos, Solace",March 2,LP,"Jazz, Prog-metal, Blackened Sludge metal, Experimental",Harsh,"Baltimore, MD",BC,S,GP,YT,A
Between the Buried and Me,Automata I,March 9,LP,Prog-metal,Mixed,"Raleigh, NC",,S,GP,YT,A
Krosis,Solem Vatem,March 9,LP,"Deathcore, Prog-metal",Mixed,"Raleigh, NC",BC,S,GP,YT,A
Instrumental (adj.),Reductio ad Absurdum,March 13,EP,"Jazz Fusion, Prog-metal/rock, Experimental",Instrumental,"Sydney, Australia",BC,S,GP,,
Nautilus,The Oceanwalker,March 14,LP,"Prog-metal, Post-metal/rock",Instrumental,"Bergen, Norway",BC,S,,YT,
Structural Disorder,... and the Cage Crumbles in the Final Scene,March 15,LP,Prog-metal/rock,Mixed,"Stockholm, Sweden",,S,GP,YT,A
Monotheist,Scourge,March 16,LP,"Technical Death metal, Prog-metal, Melodic Death metal",Harsh,"Orlando, FL",BC,S,GP,YT,A
Newaxeyes,Black Fax,March 16,LP,"Electronic, Experimental, Prog-rock, Post-rock",Instrumental,"Seattle, WA",BC,S,GP,YT,A
Rivers of Nihil,Where Owls Know My Name,March 16,LP,"Death metal, Prog-metal",Mixed,"Reading, PA",BC,S,GP,YT,A
Eldritch,Cracksleep,March 23,LP,"Power metal, Prog-metal",Clean,Italy,BC,S,GP,YT,A
Fireproven,Future Diary,March 23,LP,"Prog-metal, Melodic Death metal",Mixed,Finland,BC,S,GP,YT,A
Kino,Radio Voltaire,March 23,LP,"Neo-prog, Pop",Clean,UK,,S,GP,YT,A
Mournful Congregation,The Incubus of Karma,March 23,LP,"Funeral Doom metal, Prog-metal, Death metal",Mixed,"Adelaide, Australia",BC,S,GP,YT,A
Yossi Sassi & The Oriental Rock Orchestra,Illusion of Choice,March 25,LP,"Prog-rock/metal, Oriental rock, Alt-rock",Clean,Israel,BC,S,GP,,A
Owane,Yeah Whatever,March 28,LP,"Prog-rock, Jazz Fusion",Instrumental,Norway,BC,S,GP,YT,A
Augury,Illusive Golden Age,March 30,LP,"Prog-metal, Technical Death metal",Mixed,"Montreal, Québec",BC,S,GP,YT,A
Barren Earth,A Complex of Cages,March 30,LP,"Prog-metal, Melodic Death metal, Doom metal",Mixed,"Helsinki, Finland",,S,GP,YT,A
The World is Quiet Here,Prologue,March 30,LP,Prog-metal,Mixed,"Oshkosh, WI",,S,GP,YT,A
Aesthesys,Achromata,April 3,LP,"Prog-rock, Neoclassical, Post-rock",Instrumental,Russia,BC,S,GP,YT,A
Dmitry Demyanenko,Universe,April 5,LP,"Prog-metal, Djent",Instrumental,"Krasnodar, Russia",BC,S,GP,,A
Hands of Despair,Well of the Disquieted,April 6,LP,"Death metal, Prog-metal, Black metal",Mixed,"Montreal, Québec",BC,S,GP,YT,A
Hypno5e (A Backward Glance on a Travel Road),Alba – Les Ombres Errantes,April 6,LP,"Movie Soundtrack, Acoustic, Prog-rock, Avant-garde, Post-rock, Folk",Clean,"Montpellier, France",BC,S,GP,YT,A
Kamelot,The Shadow Theory,April 6,LP,"Power metal, Prog-metal, Symphonic",Clean,"Tampa, FL",BC,S,GP,,A
Sierra,The Mirror,April 6,LP,"Stoner rock, Grunge rock, Psychedelic, Prog-rock/metal",Clean,"Kitchener, Ontario",BC,S,,,
Valis Ablaze,Boundless,April 6,LP,"Prog-metal/rock, Alt-metal, Djent",Mixed,"Bristol, UK",BC,S,GP,YT,A
Harvs,Illuminate,April 7,LP,"Prog-metal, Electronic, Djent",Instrumental,"Sydney, Australia",BC,S,GP,YT,
Æpoch,Awakening Inception,April 13,LP,"Technical Death metal, Prog-metal",Harsh,"Cambridge, Ontario",BC,S,GP,YT,A
Eigengrau,Radiant,April 13,LP,"Post-metal/rock, Prog-metal",Instrumental,"Aarhus, Denmark",BC,S,GP,,
Frequency Drift,Letters to Maro,April 13,LP,"Crossover Prog, Cinematic",Clean,"Bayreuth, Germany",,S,GP,YT,A
Kindo,Happy However After,April 13,LP,"Prog-rock, Jazz, Pop",Clean,NY,,S,GP,YT,A
RLYR,Actual Existence,April 13,LP,"Prog-rock, Post-rock/metal",Instrumental,"Chicago, IL",BC,S,GP,YT,A
Scientist,Barbelith,April 13,LP,"Prog-metal, Sludge metal, Doom metal, Black metal",Mixed,"Chicago, IL",BC,S,,,
The Dali Thundering Concept,Savages,April 13,LP,"Prog-metal, Mathcore, Djent",Mixed,"Paris, France",BC,S,GP,YT,A
Unprocessed,Covenant,April 13,LP,"Prog-metal, Djent, Experimental",Mixed,"Wiesbaden, Germany",BC,S,GP,,A
Venus in Fear,The Dot Above the Eye,April 16,LP,"Prog-metal, Symphonic",Mixed,"Haifa, Israel",BC,S,GP,YT,A
A Perfect Circle,Eat the Elephant,April 20,LP,"Prog-rock, Alt-rock",Clean,"Los Angeles, CA",,S,GP,YT,A
ISA,Chimera,April 20,LP,"Prog-metal, Experimental, Psychedelic, Death metal, Black metal",Mixed,"Somerville, MA",BC,S,GP,YT,A
King Goat,Debt of Aeons,April 20,LP,"Prog-metal, Doom metal",Mixed,"Brighton, UK",BC,S,GP,,A
Poly-Math,House of Wisdom | We Are the Devil,April 20,LP,"Prog-rock, Math-rock, Experimental, Post-rock",Instrumental,"Brighton, UK",BC,S,GP,YT,A
Takatak,Out of Something,April 20,EP,"Djent, Prog-metal",Instrumental,"Lahore, Pakistan",BC,,,,
Tesseract,Sonder,April 20,LP,"Prog-metal, Djent",Mixed,"Milton Keynes, England",,S,GP,YT,A
Wild Hunt,Afterdream of the Reveller,April 20,LP,"Post-Black metal, Prog-metal, Doom metal",Harsh,"Oakland, CA",BC,S,GP,YT,A
Inferi,Revenant,April 21,LP,"Technical Death metal, Melodic Death metal, Symphonic",Harsh,"Nashville, TN",BC,S,GP,YT,A
Atumatu,Duma,April 27,LP,"Prog-rock, Psychedelick rock, Electronica, Art rock",Instrumental,"Waterloo, Ontario",BC,S,GP,YT,A
Boss Keloid,Melted on the Inch,April 27,LP,"Prog-rock/metal, Stoner rock, Doom metal",Clean,"Wigan, UK",BC,S,GP,YT,A
PinioL,Bran Coucou,April 27,LP,"Prog-rock, Avant-garde, Math rock, Zeuhl",Clean,"Lyon, France",BC,S,GP,YT,A
Red Apollo,The Laurels of Serenity,April 27,LP,"Post-metal/hardcore, Atmospheric Sludge metal, Black metal, Prog-metal",Mixed,"Dortmund, Germany",BC,S,GP,YT,A
Tomorrow's Eve,Mirror of Creation III - Project Ikaros,April 27,LP,Prog-metal,Clean,Germany,,S,GP,,A
Von Citizen,Sentience,April 30,LP,"Prog-metal, Djent",Instrumental,"Guangzhou, China",BC,S,GP,YT,A
Atmospheres,Reach,May 4,LP,"Prog-metal/rock, Djent",Clean,Belgium,BC,S,GP,YT,A
Ihsahn,Ámr,May 4,LP,"Prog-metal, Avant-garde, Black metal",Mixed,"Notodden, Norway",,S,GP,,A
Red Bee,Silent Enemy,May 4,LP,"Prog-rock/metal, Alt-rock",Clean,"Blue Mountains, Australia",,S,GP,YT,A
Thy Catafalque,Geometria,May 4,LP,Avant-garde metal,Clean,"Edinburgh, UK",BC,S,GP,YT,A
Progrenie Terrestre Pura,starCross,May 5,EP,"Post-Black metal, Industrial metal, Electronic, Prog-metal",Harsh,Italy,BC,S,GP,,
De Profundis,The Blinding Light of Faith,May 10,LP,"Melodic/Blackened Death metal, Prog-metal",Harsh,"London, UK",BC,S,GP,YT,A
Dyed in Grey,Anguish and Ardor,May 12,LP,"Prog-metal, Technical Death metal, Jazz Fusion",Instrumental,"Brooklyn, NY",BC,S,GP,YT,A
Meridian Sun,The Curse,May 12,EP,"Prog-metal, Doom metal, Psychedelic, Stoner rock",Mixed,"London, UK",BC,,,,
Kekal,Deeper Underground,May 15,LP,"Prog-metal, Avant-garde, Electronic",Mixed,"Jakarta, Indonesia",BC,S,GP,YT,A
Alkaloid,Liquid Anatomy,May 18,LP,"Prog-metal, Death metal, Black metal",Mixed,"Erlangen, Germany",BC,S,GP,YT,A
Amorphis,Queen of Time,May 18,LP,"Prog-metal, Melodic Death metal",Mixed,"Helsinki, Finland",,S,GP,YT,A
Antisoph,Antisoph,May 18,LP,"Prog-metal/rock, Avant-garde, Black metal",Clean,Germany,BC,S,GP,YT,A
Black Book Lodge,Steeple and Spire,May 18,LP,Prog-rock/metal,Clean,Denmark,,S,GP,YT,A
Dream the Electric Sleep,The Giants' Newground,May 18,LP,Prog-rock,Clean,"Lexington, KY",,S,GP,YT,A
Gazpacho,Soyuz,May 18,LP,"Prog-rock, Art rock",Clean,"Oslo, Norway",,S,GP,YT,A
Grayceon,IV,May 18,LP,"Prog-metal, Doom metal",Mixed,"San Francisco, CA",BC,S,GP,,A
Panegyrist,Hierurgy,May 18,LP,"Avant-garde metal, Black metal, Prog-metal",Mixed,"Chicago, IL",BC,S,,,
The Elephant Parallax,Loam & Sky,May 18,EP,Prog-metal/rock,Clean,"San Fernando Valley, CA",BC,S,GP,,A
Valyria,Into the Dying of Time,May 18,EP,"Power metal, Melodic Death metal, Prog-metal",Mixed,"St. Alberta, Alberta",BC,S,GP,YT,A
The Beast of Nod,Vampira: Disciple of Chaos,May 21,LP,"Technical Death metal, Prog-metal",Harsh,"Boston, MA",BC,S,GP,YT,A
Maestrick,Espresso Della Vita: Solare,May 23,LP,"Prog-metal, Power metal",Clean,Brazil,,S,GP,YT,A
Arena,Double Vision,May 25,LP,"Prog-rock, Neo-prog",Clean,UK,,S,GP,YT,A
Distant Dream,Your Own Story,May 25,LP,"Post-rock, Prog-rock",Instrumental,Poland,BC,S,GP,YT,A
Lunatic Soul,Under the Fragmented Sky,May 25,LP,Crossover Prog,Clean,Poland,,S,GP,YT,A
Spock's Beard,Noise Floor,May 25,LP,Prog-rock,Clean,"Los Angeles, CA",,S,GP,YT,A
Subsignal,La Muerta,May 25,LP,"Prog-rock/metal, Neo-prog",Clean,Germany,,S,GP,YT,A
Goddes of Fate,Spiral Orchard Pt. 1,May 31,LP,"Prog-metal/rock, Melodic Death metal, Folk",Mixed,"Yogyakarta, Indonesia",BC,S,GP,YT,A
Actias Luna,The Bernoulli Effect,June 1,EP,"Prog-rock/metal, Jazz Fusion, Post-rock",Instrumental,"Vancouver, British Columbia",BC,S,GP,YT,A
Head With Wings,From Worry to Shame,June 1,LP,"Prog-rock, Alt-rock",Clean,"New Haven, CT",BC,S,GP,YT,A
Sui Generis,Nostos,June 2,EP,"Post-metal, Prog-metal, Death metal",Mixed,"Adelaide, Australia",BC,,,YT,
Lesser Glow,Ruined,June 8,EP,"Post-metal, Sludge metal, Prog-metal, Doom metal",Mixed,"Boston, MA",BC,S,GP,YT,A
YOB,Our Raw Heart,June 8,LP,"Doom metal, Prog-metal, Sludge metal, Stoner metal",Mixed,"Eugene, OR",BC,S,GP,YT,A
Aegaeon,Age,June 9,LP,"Deathcore, Prog-metal",Harsh,"Evansville, IN",BC,S,GP,YT,A
Kaguu,Wistful,June 9,EP,"Math-rock, Prog-rock/metal, Post-rock",Instrumental,"Monterrey, Mexico",BC,S,GP,YT,A
Widek,Dream Reflection,June 9,LP,"Prog-rock/metal, Post-rock, Djent, Ambient",Instrumental,Poland,BC,S,GP,YT,A
Centaurus-a,Means of Escape,June 13,LP,Technical Death metal,Harsh,"Cologne, Germany",BC,,,,
The Fractured Dimension,On the Precipice of Many Infinities,June 14,LP,"Prog-metal/rock, Avant-garde, Jazz Fusion, Symphonic",Instrumental,"Battlefield, MO",BC,S,GP,YT,A
Akshara,Absolution,June 15,EP,"Prog-metal, Djent, Metalcore",Mixed,"Monthey, Switzerland",BC,S,GP,YT,
Dischordia,Binge/Purge,June 15,EP,"Prog-metal, Technical Death metal",Harsh,"Oklahoma City, OK",BC,,,,
Zeal and Ardor,Stranger Fruit,June 18,LP,"Black metal, Soul, Experimental",Mixed,"New York, NY",BC,S,GP,YT,A
Khemmis,Desolation,June 22,LP,"Doom metal, Prog-metal",Mixed,"Denver, CO",BC,S,GP,YT,A
The Aftermath,Vermine,June 22,LP,"Technical Death metal, Grindcore",Harsh,"Québec, Quebec",BC,S,GP,YT,A
The Sea Within,The Sea Within,June 22,LP,Prog-rock,Clean,Sweden / Germany / US,,S,GP,YT,A
Thousand Sun Sky,An Infinitesimal Universe,June 23,LP,"Prog-metal, Melodic Death metal, Symphonic, Electronic",Instrumental,"Sydney, Australia",BC,,,,
The Night Flight Orchestra,Sometimes the World Ain't Enough,June 29,LP,Prog-rock,Clean,Sweden,,S,GP,YT,A
Night Verses,From the Gallery of Sleep,June 29,LP,"Prog-rock, Alt-metal",Instrumental,"Los Angeles, CA",BC,S,GP,YT,A
Shell From Oceanic,How to Let Go,June 29,LP,"Prog-metal/rock, Jazz Fusion, Electronic",Instrumental,Portugal,BC,S,,YT,A
Skyglow,Thousand Years of Terror,June 30,LP,"Prog-metal, Technical Death metal, Thrash metal",Harsh,"Moscow, Russia",BC,S,GP,YT,A
Caratucay,Deranged Serenades,July 1,LP,"Prog-metal, Death metal",Mixed,Germany,BC,S,GP,YT,A
Fifth Quadrant,Vision,July 1,LP,"Prog-metal, Jazz Fusion",Instrumental,Sweden,BC,S,,YT,A
Anachronism,Orogeny,July 6,LP,"Technical Death metal, Prog-metal",Harsh,"Lausanne, Switzerland",BC,S,,YT,A
Kontinuum,No Need to Reason,July 6,LP,"Prog-rock, Ambient rock",Clean,"Reykjavík, Iceland",BC,S,GP,YT,A
Koenji Hyakkei,Dhorimviskha,July 11,LP,"Prog-rock, Avant-garde, Art rock, Zeuhl",Clean,"Tokyo, Japan",BC,,,,
Between the Buried and Me,Automata II,July 13,LP,Prog-metal,Mixed,"Raleigh, NC",,S,GP,YT,A
Deafheaven,Ordinary Corrupt Human Love,July 13,LP,"Blackgaze, Post-metal",Mixed,"San Francisco, CA",BC,S,GP,YT,A
Firtan,Okeanos,July 13,LP,"Atmospheric Black metal, Death metal, Prog-metal",Harsh,"Lörrach, Germany",BC,S,GP,YT,A
Imperial Triumphant,Vile Luxury,July 13,LP,"Avant-garde, Black metal, Prog-metal",Harsh,"New York, NY",BC,S,GP,YT,A
Obscura,Diluvium,July 13,LP,"Technical Death metal, Prog-metal",Mixed,"München, Germany",BC,S,GP,YT,A
Oubliette,The Passage,July 13,LP,"Melodic Death metal, Black metal, Prog-metal",Mixed,"Murfreesboro, TN",BC,S,,,
Wytch Hazel,II: Sojourn,July 13,LP,"Prog-rock, NWOBHM, Folk rock",Clean,"Lancaster, UK",BC,S,GP,YT,A
Terminus,Fortune Looming,July 14,LP,"Prog-metal/rock, Stoner rock",Clean,"Fayetteville, AR",BC,S,GP,YT,A
Distorted Harmony,A Way Out,July 19,LP,"Prog-metal/rock, Djent, Alt-metal",Mixed,Israel,BC,S,GP,YT,A
Khôrada,Salt,July 20,LP,"Prog-metal, Doom metal, Sludge metal, Black metal",Mixed,"Portland, OR",BC,S,GP,YT,A
Parius,The Eldritch Realm,July 20,EP,"Prog-metal, Melodic Death metal",Mixed,"Philadelphia, PA",BC,S,GP,,A
Southern Empire,Civilisation,July 20,LP,Prog-rock,Clean,Australia,,S,GP,,A
The Lion's Daughter,Future Cult,July 20,LP,"Prog-metal, Blackened Sludge metal, Experimental",Harsh,"St. Louis, MO",BC,S,GP,YT,A
Frontierer,Unloved,July 27,LP,"Mathcore, Technical metal, Electro, Prog-metal, Experimental",Harsh,"Scotland, UK",BC,S,GP,YT,A
Oh.,Metallia,July 27,LP,Prog-metal/rock,Instrumental,Greece,BC,S,GP,,A
Plini,Sunhead,July 27,EP,"Prog-metal/rock, Jazz Fusion, Djent",Instrumental,"Sydney, Australia",BC,S,GP,YT,A
Redemption,Long Night's Journey into Day,July 27,LP,Prog-metal,Clean,"Los Angeles, CA",BC,S,GP,YT,A
Andromida,Voyager,July 30,LP,"Prog-metal, Metalcore, Djent",Instrumental,"Pittsburgh, PA",BC,S,GP,YT,A
Opus of a Machine,Stray Fire,August 3,LP,Prog-metal/rock,Clean,"Gold Coast, Australia",BC,S,GP,,A
Soreption,Monument of the End,August 3,LP,Technical Death metal,Harsh,"Sundsvall, Sweden",,S,GP,YT,A
Tides of Man,Every Nothing,August 3,LP,"Post-rock, Prog-rock",Instrumental,"Tampa, FL",BC,S,GP,,A
"Time, The Valuator","How Fleeting, How Fragile",August 3,LP,"Metalcore, Djent, Alt-metal, Melodic metal, Prog-metal",Clean,Germany,BC,S,GP,YT,A
Aethereus,Absentia,August 10,LP,"Technical Death metal, Prog-metal",Mixed,"Tacoma, WA",BC,S,GP,YT,A
Erra,Neon,August 10,LP,"Metalcore, Prog-metal",Mixed,"Birmingham, AL",,S,GP,YT,A
Here at the End,Gather Your Arrows,August 15,EP,"Prog-metal, Metalcore, Post-rock",Instrumental,CA,,S,GP,YT,A
Exocrine,Molten Giant,August 17,LP,"Technical Death metal, Prog-metal",Harsh,France,BC,S,GP,YT,A
Forming the Void,Rift,August 17,LP,"Prog-rock, Stoner rock/metal, Doom rock/metal",Clean,LA,BC,S,GP,YT,A
Mike Kershaw,Arms Open Wide,August 17,LP,Prog-rock,Clean,"Wakefield, UK",BC,S,GP,,A
Festacorn,It's Only Natural,August 18,EP,"Prog-metal, Death metal, Djent",Mixed,"Mumbai, India",BC,S,GP,YT,A
The Dark Third,Even as the Light Grows,August 19,LP,"Prog-rock, Dream Pop, Shoegaze, Alt-rock, Art rock",Clean,"Auckland, New Zealand",BC,S,GP,YT,A
Semantic Saturation,Paradigms,August 20,LP,Prog-metal/rock,Instrumental,Canada,BC,S,GP,YT,A
Convulsing,Grievous,August 22,LP,"Prog-metal, Death metal",Harsh,"Adelaide, Australia",BC,,,,
Lux Terminus,The Courage to Be,August 24,LP,"Prog-metal/rock, Djent, Jazz Fusion",Instru./Clean,"Cleveland, OH",BC,S,GP,,A
Syncatto,New Places,August 24,EP,"Prog-metal/rock, Djent, Jazz Fusion",Instrumental,"Fresno, CA",BC,S,GP,YT,A
Atumatu,Children of the Arbat,August 28,EP,"Prog-rock, Psychedelick rock, Electronica, Art rock",Instrumental,"Waterloo, Ontario",BC,S,GP,YT,A
Meristem,Absorbed Light,August 30,EP,"Prog-rock/metal, Jazz Fusion, Djent",Instrumental,"Stanardsville, VA",BC,S,GP,YT,A
Circles,The Last One,August 31,LP,Prog-metal/rock,Mixed,Australia,BC,S,GP,YT,A
Diligent,Paradox,August 31,EP,"Prog-metal, Djent, Metalcore",Harsh,"Malmö, Sweden",BC,S,GP,YT,A
Great Leap Skyward,Map of Broken Dreams,August 31,LP,Prog-metal,Mixed,"Melbourne, Australia",,S,GP,YT,A
Omnium Gatherum,The Burning Cold,August 31,LP,"Melodic Death metal, Prog-metal",Mixed,Finland,,S,GP,YT,A
Phideaux,Infernal,August 31,LP,"Prog-rock, Art rock, Psychedelic rock",Clean,"Los Angeles, CA",BC,,,,A
The Pineapple Thief,Dissolution,August 31,LP,Prog-rock,Clean,UK,,S,GP,YT,A
Karas,Karas,September 1,LP,"Post-metal, Black metal, Prog-metal",Mixed,"Riverside, CA",BC,S,GP,,
Kingcrow,The Persistence,September 7,LP,Prog-rock/metal,Clean,"Rome, Italy",BC,S,GP,,A
Mestís,Eikasia,September 7,LP,"Prog-metal, Jazz Fusion",Instrumental,"Los Angeles, CA",,S,GP,YT,A
Skyharbor,Sunshine Dust,September 7,LP,Prog-metal,Mixed,India / US,,S,GP,,A
They,Unspeakable,September 8,LP,"Prog-rock, Psychedelic, Avant-garde, Electronica",Mixed,TX,,S,GP,YT,A
Potmos Hetoimos,Vox Medusae,September 12,LP,"Prog-metal, Experimental, Post-metal, Doom metal, Post-hardcore, Jazz Fusion, Sludge metal",Mixed,"Baltimore, MD",BC,S,GP,,
Arcane Roots,Landslide,September 14,EP,"Alt-rock, Prog-rock, Mathcore, Post-hardcore, Electronic",Mixed,"Kingston Upon Thames, England",,S,GP,,A
Crippled Black Phoenix,Great Escape,September 14,LP,"Post-rock, Prog-rock, Experimental, Ambient, Indie rock",Clean,UK,BC,S,GP,YT,A
Irreversible Mechanism,Abolution,September 14,LP,"Prog-metal, Technical Death metal",Mixed,"Minsk, Belarus",BC,S,GP,YT,A
Stoort Neer,en glad titel på en sorglig skiva,September 18,LP,"Prog-metal, Djent, Metalcore",Instrumental,Sweden,BC,S,GP,YT,A
Dead Letter Circus,Dead Letter Circus,September 21,LP,"Prog-rock, Alt-rock",Clean,"Brisbane, Queensland, Australia",,S,GP,YT,A
Deeply Woven,Deeply Woven,September 21,EP,"Prog-rock/metal, Jazz Fusion",Instrumental,NJ,BC,S,GP,YT,A
Madder Mortem,Marrow,September 21,LP,"Prog-metal, Alt-metal, Avant-garde",Mixed,"Oslo, Norway",BC,S,GP,YT,A
Nosound,Allow Yourself,September 21,LP,"Prog-rock, Alt-rock, Electronica",Clean,UK,,S,GP,YT,A
