2020 Progressive Metal Albums,,Releases:,563,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
/u/FranticDav
/u/Faceless_Aeons
/u/tapestrymusicpodcast
/u/ickybus",,Images & Words: The Prog Discord,,,,
Thy Catafalque,Naiv,January 24,LP,Avant-garde metal,Mixed,"Makó, Hungary",BC,S,YT,,
Nero di Marte,Immoto,January 24,LP,"Prog-metal, Death metal, Post-metal",Harsh,"Bologna, Italy",BC,S,YT,,
Fleshvessel,Bile of Man Reborn,January 24,EP,"Prog-metal, Experimental Death metal, Jazz Fusion",Mixed,"Chicago, IL",BC,,,,
Mobius,Kala,January 30,LP,"Prog-metal, Djent, Experimental",Clean,"Lyon, France",BC,S,,,
Deathwhite,Grave Image,January 31,LP,"Doom metal, Gothic, Melodic",Clean,"Pittsburgh, PA",BC,S,YT,,
Moloken,Unveilance of Dark Matter,January 31,LP,"Prog-metal, Post-metal, Sludge",Harsh,"Umeå, Sweden",BC,S,,,
The Conjuration,Gospel,January 31,LP,"Prog-metal, Death metal, Avant-garde, Psychedelic",Harsh,"Danville, VA",BC,S,YT,,
Arbrynth,A Place of Buried Light,February 3,LP,"Prog-metal, Death metal, Doom metal, Folk",Mixed,"Melbourne, Australia",BC,S,,,
Their Dogs Were Astronauts,Dreamcatcher,February 6,LP,"Prog-metal, Djent",Instrumental,"Vienna, Austria",BC,S,YT,,
Aesmah,Walking off the Horizon,February 7,LP,"Prog-metal, Melodic Death metal",Harsh,"Lyon, France",BC,S,,,
Tómarúm,Wounds Ever Expanding,February 7,EP,"Prog-metal, Death metal, Atmospheric",Harsh,"Atlanta, GA",BC,S,,,
Thoren,Gwarth II,February 7,LP,"Prog-metal, Death metal",Instrumental,"Sterling Heights, MI",BC,S,YT,,
Sylosis,Cycle of Suffering,February 7,LP,"Melodic Death metal, Thrash metal",Harsh,"Reading, UK",,S,,,
Krosis,A Memoir of Free Will,February 7,LP,"Prog-metal, Deathcore",Harsh,"Raleigh, NC",BC,S,YT,,
Karg,Traktat,February 7,LP,Post-black metal,Harsh,Austria,BC,S,YT,,
Loathe,I Let It in and It Took Everything,February 7,LP,"Prog-metal, Alternative, Metalcore",Mixed,"Liverpool, UK",BC,S,,,
Altostratus,Complete the Connection,February 7,LP,"Prog-metal, instrumental, djent",Instrumental,UK,BC,S,YT,,
Izthmi,The Arrows of Our Ways,February 14,LP,"Prog-metal, Atmospheric Black metal",Harsh,"Seattle, WA",BC,S,,,
Psychotic Waltz,The God-Shaped Void,February 14,LP,Prog-metal,Clean,"San Diego, CA",,S,,,
Ihsahn,Telemark,February 14,EP,"Prog-metal, Black metal",Mixed,"Notodden, Norway",,S,,,
Jason Kui,Naka,February 14,LP,Prog-metal,Instrumental,Hong Kong,BC,S,,,
Somaesthesia,Recidivist,February 14,EP,"Prog-metal, Sludge metal",Harsh,"Edinburgh, UK",BC,S,,,
Kvelertak,Splid,February 14,LP,"Heavy metal, Black 'n' Roll",Mixed,"Stavanger, Norway",,S,,,
Bird Problems,Beyond the Nest,February 17,EP,"Prog-metal, djent, jazz, post-hardcore",Mixed,"Toronto, CA",BC,S,YT,,
Postvorta,Porrima,February 20,LP,"Atmospheric Sludge metal, Post-metal",Harsh,"Ravenna, Italy",BC,S,,,
Isle of the Cross,Excelsis,February 21,LP,"Prog-metal, Technical Death metal, Symphonic",Mixed,USA,,S,,,
Satyr,Locus,February 21,LP,"Prog-metal, Post-Hardcore, Math rock",Mixed,"Atlanta, GA",BC,S,YT,,
Polaris,The Death Of Me,February 21,LP,"Prog-metal, Metalcore",Mixed,"Sydney, Australia",BC,S,,,
The Motion Mosaic,Avant​-​Garbage,February 22,LP,"Prog-metal, Mathcore",Harsh,"Twin Cities, MN",BC,S,,,
Pyramid,Amnesty,February 24,LP,Prog-metal,Clean,"New York, NY",BC,,,,
Sectile,Falls Apart,February 25,LP,"Prog-metal, Post-metal",Mixed,"Dublin, Ireland",BC,S,YT,,
The Stone Eye,Ventura,February 28,LP,"Prog-metal, sludge, psychedelic, stoner rock, alt rock",Mixed,"Philadelphia, PA",BC,S,,,
Intronaut,Fluid Existential Inversions,February 28,LP,"Prog-metal, Post-metal",Mixed,"Los Angeles, CA",BC,S,YT,,
Regarde Les Hommes Tomber,Ascension,February 28,LP,Post-black metal,Harsh,"Nantes, France ",BC,S,YT,,
Dark Fortress,Spectres Of The Old World,February 28,LP,"Prog-metal, Avant-black, Melodic Black metal",Mixed,"Landshut, Germany",,S,,,
Drown,Subaqueous,February 28,LP,Funeral Doom metal,Harsh,"Ternopil, Ukraine",BC,S,,,
Insect Ark,The Vanishing,February 28,LP,"Doom metal, Psychedelic rock, Experimental",Instrumental,"Brooklyn, NY",BC,S,YT,,
Volcandra,Into the Azure ,February 28,LP,"Prog-metal, Black metal",Harsh,"Louisville, KY",BC,S,,,
Tombs,Monarchy of Shadows,February 28,EP,"Black metal, Post-metal, Sludge metal",Harsh,"Brooklyn, NY",BC,S,YT,,
ORM,Mit Blod,February 28,EP,"Prog-metal, Black metal",Harsh,"Copenhagen, Denmark",BC,S,,,
Inner Odyssey,The Void,March 1,LP,"Prog-metal, Prog-rock",Clean,"Québec, Canada",BC,S,,,
Violet Cold,Noir Kid,March 1,LP,Blackgaze,Harsh,"Baku, Azerbaijan",BC,S,,,
Soften the Glare,Glint,March 3,LP,"Prog-metal, prog-rock, math rock",Instrumental,"Raleigh, NC",BC,S,,,
Svengahli,Nightmares Of Our Own Design,March 6,EP,"Prog-metal, Death metal",Mixed,"Baltimore, MD",BC,S,YT,,
Novena,Eleventh Hour,March 6,LP,"Prog-metal, Prog-rock",Mixed,"London, UK",BC,S,,,
An Evening With Knives,Sense of Gravity,March 6,LP,"Post-metal, Doom metal, Stoner metal",Mixed,"Eindhoven, Netherlands",BC,S,,,
Hyperconvolutor,Hyper Convolution,March 6,EP,"Prog-metal, melodic death metal, technical death metal",Harsh,"ZH, Netherlands",BC,S,YT,,
Azure Emote,The Third Perspective,March 6,LP,"Prog-metal, Avant-garde, Death metal",Mixed,"Philadelphia, NY",BC,S,,,
Trepalium,From The Ground,March 6,LP,"Prog-metal, Death metal, Groove metal",Mixed,France,,S,,,
Ikarass,Relapse Into Desolation,March 6,LP,"Post-metal, Sludge metal",Harsh,"Durango, Spain",BC,S,,,
Naat,Fallen Oracles,March 6,LP,"Post-metal, Doom metal, Sludge metal",Instrumental,"Genoa, Italy",BC,S,,,
Scarab,Martyrs of the Storm,March 6,LP,"Prog-metal, Technical Death metal",Harsh,"Cairo, Egypt",BC,S,,,
Aronious,Perspicacity,March 13,LP,"Prog-metal, Technical Death metal",Harsh,"Green Bay, WI",BC,S,YT,,
Sutrah ,Aletheia ,March 13,EP,"Prog-metal, Technical Death metal",Harsh,"Montreal, Canada",BC,S,YT,,
Vaisseau,Horrors Waiting In Line,March 13,LP,"Synth doom, Space rock, Electronic",Instrumental,"Brest, France",BC,,YT,,
Carnosus,Dogma of the Deceased,March 13,LP,"Prog-metal, Melodic Death metal, Thrash metal",Harsh,"Örebro, Sweden",BC,S,YT,,
Huntsmen,Mandala of Fear,March 13,LP,"Post-metal,  Americana, Stoner metal",Mixed,"Chicago, IL",BC,S,,,
Lychgate,Also Sprach Futura,March 13,EP,"Prog-metal, Black metal, Avant-garde",Harsh,"London, UK",BC,S,YT,,
Pestifer,Expanding Oblivion,March 13,LP,"Prog-metal, Technical Death metal",Harsh,"Liège, Belgium",BC,S,YT,,
Nephele,Solidarity,March 13,LP,"Prog-metal, instrumental, djent",Instrumental,"Pittsburgh, PA",BC,S,YT,,
White Stones,Kuarahy,March 13,LP,"Prog-metal, Death metal",Harsh,"Montevideo, Uruguay",BC,S,,,
Burden of Life,The Makeshift Conqueror,March 13,LP,"Prog-metal, Melodic Death metal",Mixed,"Regensburg, Germany",,S,,,
Blidvinter,Petrichor,March 14,LP,"Prog-metal, Melodic Death metal, Doom metal",Harsh,"Gävle, Sweden",BC,S,,,
Hemotoxin,Restructure the Molded Mind,March 16,LP,"Prog-metal, Thrash metal, Death metal",Harsh,"San Francisco, CA",BC,S,,,
Soliloquium,Things We Leave Behind,March 16,LP,"Prog-metal, Death metal, Doom metal",Mixed,"Stockholm, Sweden",BC,S,YT,,
jw.,Wildly Indecisive,March 17,EP,"Prog-metal, Fusion, Math rock",Instrumental,"Toronto, ON",BC,S,,,
Of Kairos,Oscillation,March 18,LP,Prog-metal,Mixed,"Toronto, ON",BC,S,YT,,
Serpent Column,Endless Detainment,March 18,EP,"Prog-metal, Black metal, Mathcore",Harsh,US,BC,S,,,
Myrkur,Folkesange,March 20,LP,"Black metal, Folk, Traditional",Mixed,Denmark,BC,S,YT,,
Christian Muenzner,Path Of The Hero,March 20,LP,"Prog-metal, Neoclassical, Power metal",Instrumental,Germany,BC,S,YT,,
Tethra,Empire Of The Void,March 20,LP,"Prog-metal, Doom metal, Death metal",Harsh,"Novara, Italy",BC,S,YT,,
Neck of the Woods,The Annex of Ire,March 20,LP,"Prog-metal, Metalcore",Mixed,"Vancouver, Canada",BC,S,YT,,
Posthumanbigbang,Jungle Eyes,March 20,LP,"Prog-metal, Post-metal, Experimental",Mixed,"Bern, Switzerland",BC,S,YT,,
Back To R'lyeh,Chosen,March 20,LP,Prog-metal,Mixed,"Madrid, Spain",BC,S,YT,,
Sweven,The Eternal Resonance,March 20,LP,"Prog-metal, Death metal, Psychedelic",Harsh,"Stockholm, Sweden",BC,S,,,
Ovid's Withering,Terraphage,March 20,LP,"Prog-metal, Deathcore, Symphonic",Harsh,"Tampa, FL",BC,S,YT,,
Lamentari,Missa Pro Defunctis,March 25,EP,Symphonic Black metal,Harsh,"Copenhagen, Denmark",BC,S,,,🍎
Arise in Stability,Dose Again,March 25,LP,"Prog-metal, Metalcore",Mixed,"Yokohama, Japan",BC,S,,,
Carnatia,Aeipathy,March 25,LP,Prog-metal,Clean,"Istanbul, Turkey",BC,S,,,
Omega Infinity,Solar Spectre,March 27,LP,Black metal,Harsh,Australia,BC,S,YT,,
Aodon,1 1 0 6 9,March 27,LP,Post-black metal,Harsh,France,BC,S,,,
Telepathy,Burn Embrace,March 27,LP,"Prog-metal, Post-metal, Sludge metal",Instrumental,"Essex, UK",BC,S,YT,,
Void of Sleep,Metaphora,March 27,LP,"Prog-metal, Doom metal, Sludge",Clean,"Ravenna, Italy",BC,S,,,
Spotlights,We Are All Atomic,March 27,EP,"Post-metal, Doom metal, Shoegaze",Clean,"New York, NY",BC,S,,,
Coldflesh,Phantasmagoric Realms,March 27,EP,"Prog-metal, Technical Death metal",Harsh,"Oslo, Norway",BC,S,,,
Dyssidia,Costly Signals,March 27,LP,"Prog-metal, Melodic Death metal",Mixed,"Adelaide, Australia",BC,S,,,
Moon Destroys,Maiden Voyage,March 27,EP,"Prog-metal, Psychedelic rock",Clean,"Atlanta, GA",BC,S,,,
Fervence,Ghost,March 27,LP,"Prog-metal, Alt-metal, Metalcore",Mixed,"Reno, NV",BC,S,,,
Northaven,Awaken,March 27,LP,"Prog-metal, Metalcore",Mixed,"Indianapolis, IN",BC,S,,,
Meander ,Meander ,March 27,EP,"Prog-metal, Post-metal",Mixed,"Brussels, Belgium",BC,S,YT,,
Alchemists,Chapter One : Love,March 27,LP,"Prog-metal, Deathcore, Djent",Mixed,"Lausanne, Switzerland",BC,S,YT,,
Irist,Order Of The Mind,March 27,LP,"Prog-metal, Sludge metal",Harsh,"Atlanta, GA",BC,S,,,
Gigafauna,Frozen Wastes,March 27,LP,"Prog-metal, Sludge metal",Mixed,"Uppsala, Sweden",BC,S,,,
Atrium,Rise and Shine,March 29,EP,Prog-metal,Instrumental,"Provo, UT",BC,S,,,
Dawn of Ouroboros,The Art of Morphology,March 30,LP,"Prog-metal, death metal, post-black metal",Mixed,"Oakland, CA",BC,S,YT,,
Psalmtanic,Psalmtanic Verses,March 31,LP,"Prog-metal, black metal, death metal",Harsh,"Bergen, Norway",BC,S,,,
Bolt Gun,Begotten,April 3,LP,"Post-metal, Doom metal, Drone",Harsh,"Fremantle, Australia",BC,S,,,
Wake of Sirens,The Blackest Deep,April 3,LP,"Prog-metal, Power metal, Folk metal",Mixed,"Boston, MA",BC,S,,,
Errant,Errant,April 3,EP,"Post-metal, Alt-metal, Black metal",Mixed,"Chicago, IL",BC,S,,,
Loviatar,Lightless,April 3,LP,"Post-metal, Doom metal, Stoner ",Clean,"Ottawa, ON",BC,S,,,
Testament,Titans of Creation,April 3,LP,Thrash metal,Harsh,"Bay Area, CA",,S,,,
Joviac,Here And Now,April 3,LP,Prog-metal,Clean,"Tampere, Finland",BC,S,,,
Avyakta,Somnium Chorus,April 6,LP,"Prog-metal, Prog-rock, Experimental",Instrumental,"New Jersey, NJ",BC,S,,,
Symbolik,Emergence,April 10,LP,"Technical Death metal, Melodic Death metal",Harsh,"Stockton, CA",BC,S,YT,,
Myth of I,Myth of I,April 10,LP,"Prog-metal, Technical Death metal",Instrumental,"Boston, MA",BC,S,YT,,
Azusa,Loop of Yesterdays,April 10,LP,"Prog-metal, Post-Hardcore",Mixed,"Oslo, Norway",BC,S,,,
Ashbreather,Ashbreather,April 10,LP,"Prog-metal, Death metal, Sludge metal",Mixed,"Montreal, Canada",BC,S,YT,,
Wolfheart,Wolves of Karelia,April 10,LP,Melodic Death metal,Harsh,"Lahti, Finland",BC,S,,,
Roet,Enlight,April 10,EP,"Prog-metal, Death metal, Thrash metal",Harsh,"London, UK",BC,S,,,
Transcend,Balance I,April 13,LP,Prog-metal,Clean,"Montreal, Canada",BC,S,,,
Vampire Squid,Reinventing The Eel,April 15,LP,"Prog-metal, Death metal, Mathcore",Harsh,"Corona, CA",BC,S,,,
Divitius,Primordial,April 17,LP,"Prog-metal, metalcore, djent",Harsh,"Portland, OR",BC,S,,,
Abysmal Dawn,Phylogenesis,April 17,LP,"Death metal, Modern",Harsh,"Los Angeles, CA",BC,S,YT,,
Oranssi Pazuzu,Mestarin kynsi,April 17,LP,Psychedelic Black metal,Harsh,Finland,BC,S,YT,,
The Ditch and The Delta,The Ditch and The Delta,April 17,LP,"Prog-metal, Sludge metal, Noise rock",Harsh,"Salt Lake City, UT",BC,S,,,
Etherius,Chaos. Order. Renewal.,April 17,LP,Prog-metal,Instrumental,"New Jersey, NJ",BC,S,,,
Khôra,Timaeus,April 17,LP,"Prog-metal, Avant-garde Black metal",Mixed,"Dublin, Ireland",BC,S,,,
Cursed Mantis,Cursed Mantis,April 17,LP,"Grindcore, Synthwave",Mixed,Canada,BC,S,,,
Ignea,The Realms of Fire and Death,April 17,LP,"Prog-metal, Death metal",Mixed,"Kiev, Ukraine",BC,S,YT,,
Forlesen,Hierophant Violent,April 18,LP,"Doom metal, Avant-Garde Black metal, Psychedelic rock",Mixed,"Bay Area, CA",BC,S,YT,,
Jackie Frank Russell III,The Cycle,April 19,LP,"Prog-metal, Avant-garde, Death metal",Mixed,"Elmhurst, IL",BC,S,,,
Lament,Visions and a Giant of Nebula,April 20,LP,"Post-black metal, Blackgaze",Mixed,Indonesia,BC,S,,,
Death of the Author,Cosmic Noise,April 20,EP,Prog-metal,Mixed,"Los Angeles, CA",BC,S,YT,,
Helioss,Devenir le Soleil,April 23,LP,"Prog-metal, Black metal, Symphonic",Harsh,France,BC,S,YT,,
Barishi,Old Smoke,April 24,LP,"Prog-metal, Sludge metal",Harsh,"Brattleboro, VT",BC,S,YT,,
Elder,Omens,April 24,LP,"Prog-metal, Psychedelic, Heavy prog",Clean,"New Bedford, MA",BC,S,YT,,
"(0)
",SkamHan,April 24,LP,"Prog-metal, Black metal, Post-metal",Harsh,Denmark,BC,S,,,
Ulcerate,Stare Into Death And Be Still,April 24,LP,"Dissonant Death metal, Atmospheric Sludge metal",Harsh,"Auckland, New Zealand",BC,S,YT,,
Together to the Stars,As We Wither,April 24,LP,Post-black metal,Harsh,"Stockholm, Sweden",BC,S,,,
Marrowfields,Metamorphoses,April 24,LP,Atmospheric Doom metal,Clean,"Fall River, MA",BC,S,YT,,
Dance Gavin Dance,Afterburner,April 24,LP,"Prog-metal, Post-Hardcore",Mixed,"Sacramento, CA",,S,,,
Light Dweller,Hominal,April 24,LP,"Dissonant Death metal, Atmospheric Black metal",Harsh,"Tempe, AZ",BC,S,,,
RIVIẼRE,Passage,April 24,LP,"Prog-metal, Prog-rock",Clean,"Toulouse, France",BC,S,,,
Mantric,False Negative,April 24,LP,Prog-metal,Mixed,"Oslo, Norway",,S,YT,,
Abduction,Jehanne,April 29,LP,"Prog-metal, Black metal",Harsh,France,BC,S,YT,,
Koronal,A Gift Of Consciousness,April 29,LP,"Prog-metal, Deathcore, Djent",Harsh,Poland,BC,,YT,,
Atrium,Cerulean,April 30,EP,Prog-metal,Instrumental,"Provo, UT",BC,S,,,
Karmacipher,Introspectrum,April 30,LP,Dissonant Death metal,Harsh,Hong Kong,BC,S,,,
Æther Realm,Redneck Vikings From Hell,May 1,LP,"Melodic Death metal, Folk metal",Mixed,"Greenville, NC",BC,S,YT,,
Bioplan,Epipath,May 1,EP,"Prog-metal, electronic, industrial",Instrumental,"Stockholm, Sweden",BC,S,,,
Rick Massie,Eclipse,May 1,LP,Prog-metal,Mixed,"Whitehorse, Canada",BC,S,,,
Keverra,Keverra,May 1,LP,Sludge metal,Harsh,"Los Angeles, CA",BC,S,,,
Empire Bathtub,Looney Moons,May 1,LP,"Prog-metal, Experimental metal, Comedy rock",Clean,"Houston, TX",BC,S,,,
An Autumn For Crippled Children,"All Fell Silent, Everything Went Quiet",May 1,LP,"Experimental Black metal, Blackgaze",Harsh,Netherlands,BC,S,,,
Havok,V,May 1,LP,Thrash metal,Harsh,"Denver, CO",,S,,,
Umbra Vitae,Shadow of Life,May 1,LP,"Prog-metal, Death metal",Harsh,"Boston, MA",BC,S,,,
City of Souls,Synæsthesia,May 1,LP,"Prog-metal, Alt-rock, Shoegaze",Mixed,"Auckland, New Zealand",BC,S,,,
Hills Like White Lions,Hills Like White Lions,May 1,LP,"Prog-metal, Post-metal",Clean,"Amstetten, Austria",BC,S,YT,,
Cryptic Shift,Visitations From Enceladus,May 4,LP,"Prog-metal, Death metal, Thrash metal",Harsh,"Leeds, UK",BC,S,,,
Black Painted Moon,Personæ,May 4,LP,Prog-metal,Clean,"Venice, Italy",BC,S,,,
Green Carnation,Leaves of Yesteryear,May 8,LP,Prog-metal,Clean,"Kristiansand, Norway",BC,S,YT,,
Forming the Void,Reverie,May 8,LP,"Doom metal, Stoner metal, Psychedelic",Clean,"Louisiana, LA",BC,S,YT,,
BEAR,Propaganda,May 8,LP,"Prog-metal, Metalcore, Djent",Mixed,"Antwerp, Belgium",BC,S,YT,,
The Hirsch Effekt,Kollaps,May 8,LP,"Prog-metal, Mathcore, Artcore",Mixed,"Hannover, Germany",BC,S,,,
Sojourner,Premonitions,May 8,LP,"Atmospheric Black metal, Folk",Mixed,"Dunedin, New Zealand",BC,S,,,
Secrets of the Moon,Black House,May 8,LP,"Doom metal, Gothic rock",Clean,Germany,BC,S,,,
Omniarch,Omniarch,May 8,LP,"Prog-metal, Technical Death metal",Harsh,"Edmonton, Canada",BC,S,,,
Vulkan,Technatura,May 8,LP,"Prog-metal, Alt-rock, Psychedelic rock",Clean,"Karlstad, Sweden",BC,S,,,
Mekong Delta,Tales Of A Future Past,May 8,LP,"Prog-metal, Thrash metal",Clean,Germany,,S,,,
The Animal State,Genus,May 8,LP,"Prog-metal, Alt-rock, Stoner rock",Clean,"Portsmouth, UK",BC,S,YT,,
Odraza,Rzeczom,May 8,LP,"Prog-metal, Black metal",Harsh,"Kraków, Poland",BC,S,,,
Holden,Ursa Minor,May 8,LP,"Prog-metal, Post-metal, Stoner metal",Mixed,"Richmond, VA",BC,S,,,
Patrons of The Rotting Gate,Bathed In Ash,May 9,LP,"Prog-metal, Black metal, Death metal",Harsh,"Belfast, UK",BC,S,,,
Notion Blue,"The Son, The Liar, and The Victor",May 12,LP,"Prog-metal, Prog-rock",Clean,"New Haven, CT",BC,S,,,
Amouth,Amouth,May 14,LP,Post-metal,Mixed,"Arezzo, Italy",BC,,,,
Binary Code,Memento Mori,May 15,LP,"Prog-metal, Deathcore, Djent",Mixed,"New York, NY",BC,S,,,
Paradise Lost,Obsidian,May 15,LP,"Death Doom metal, Gothic metal",Clean,"Yorkshire, UK",BC,S,,,
Triptykon,Requiem,May 15,LP,"Black metal, Doom metal, Gothic metal",Harsh,"Zürich, Switzerland",,S,,,
Infant Island,Beneath,May 15,LP,"Post-metal, Screamo",Harsh,"Fredericksburg, VA",BC,S,,,
Kardashev,The Baring of Shadows,May 15,EP,"Prog-metal, Deathcore, Shoegaze",Mixed,"Tempe, AZ",BC,S,YT,,
Lucas de la Rosa,Sunlight Highlights,May 15,EP,"Prog-metal, Djent",Instrumental,"Normandy, France",BC,S,YT,,
Lör,Edge of Eternity,May 15,EP,"Prog-metal, Folk metal, Power metal",Clean,"Philadelphia, PA",BC,S,YT,,
Halysis,Cerulean,May 15,LP,"Prog-metal, Death metal, Metalcore",Mixed,"Lahti, Finland",BC,S,YT,,
Ekphrasis,Weird Interbreeding,May 15,LP,"Prog-metal, Jazz Fusion, Math-rock",Mixed,"Avignon, France",BC,S,YT,,
Course of Fate,Mindweaver,May 15,LP,Prog-metal,Clean,"Fredrikstad, Norway",BC,S,,,
Protosequence,A Blunt Description of Something Obscene ,May 19,EP,"Prog-metal, Technical Death metal, Deathcore",Harsh,Canada,BC,S,YT,,
Shadow In The Darkness,Erstwhile Befell,May 19,LP,"Prog-metal, Technical Death metal",Harsh,"Attica, Greece",BC,S,,,
Caligula's Horse,Rise Radiant,May 22,LP,"Prog-metal, Alt-rock",Clean,"Brisbane, Australia",,S,YT,,
Old Man Gloom,Seminar VIII: Light Of Meaning,May 22,LP,"Post-metal, Sludge metal",Harsh,"Boston, MA",BC,S,YT,,
Old Man Gloom,Seminar IX: Darkness Of Being,May 22,LP,"Post-metal, Sludge metal",Harsh,"Boston, MA",BC,S,YT,,
Mountaineer,Bloodletting,May 22,LP,"Post-metal, Doom metal, Shoegaze",Mixed,"Oakland, CA",BC,S,,,
Temnein,Tales: Of Humanity and Greed,May 22,LP,"Prog-metal, Melodic Death metal",Harsh,"Nancy, France",BC,S,YT,,
Unreqvited,Empathica,May 22,LP,"Post-black metal, Blackgaze",Harsh,"Ottawa, ON",BC,S,,,
Cosmic Putrefaction,The Horizons Towards Which Splendour Withers,May 22,LP,"Prog-metal, Death metal",Harsh,"Milan, Italy ",BC,S,,,
Wizzo,Electric Lettuce,May 22,EP,"Doom metal, Stoner rock, Psychedelic rock",Mixed,"Chicago, IL",BC,S,,,
Rannoch,Reflections Upon Darkness,May 25,LP,"Prog-metal, Death metal",Mixed,UK,BC,S,,,
Agora,Imperio,May 26,LP,Prog-metal,Clean,Mexico,,S,,,
Astolat,The Winning Tragedy,May 28,LP,"Prog-metal, Doom metal ",Mixed,"Linköping, Sweden",BC,S,YT,,
Gylodon,Life Force,May 28,EP,"Atmospheric Post-metal, Shoegaze",Clean,"Michigan, MI",BC,S,,,
Atavistia,The Winter Way,May 29,LP,"Melodic Death metal, Folk metal",Mixed,"Vancouver, BC",BC,S,,,
Lesser Glow,Nullity,May 29,LP,"Post-metal, Doom metal, Sludge metal",Mixed,"Boston, MA",BC,S,YT,,
Athaliah,The Dryad,May 29,LP,"Blackgaze, Post-metal",Mixed,"Pennsylvania, MN",BC,S,,,
Astralborne,Eternity's End,May 29,LP,Melodic Death metal,Harsh,"Toledo, OH",BC,S,,,
R U N,For You Will Never Find Peace Within Your Quiet,May 29,EP,"Post-metal, Metalcore, Black metal",Harsh,"Melbourne, Australia",BC,S,,,
Dreichmere,The Fruit of Barren Fields,May 31,LP,"Prog-metal, Death metal, Doom metal",Harsh,"Grand Rapids, MI",BC,S,,,
Glass Artery,Glass Artery,June 1,EP,"Prog-metal, Post-metal, Ambient",Mixed,"New York, NY",BC,S,,,
16,Dream Squasher,June 5,LP,Sludge metal,Harsh,"Los Angeles, CA",BC,S,YT,,
End,Splinters From An Ever​-​Changing Face,June 5,LP,"Metalcore, Grindcore",Harsh,"New Jersey, NJ",BC,S,,,
Ebonivory,The Long Dream I,June 5,LP,Prog-metal,Mixed,"Ballarat, Australia",,S,,,
Chiasmata,Severance,June 5,LP,Prog-metal,Clean,"Manchester, UK",BC,S,,,
Sarpa,Solivagus,June 5,LP,"Prog-metal, Black metal, Death metal",Harsh,"Austin, TX",BC,S,,,
Xazraug,Unsympathetic Empyrean,June 5,LP,Black metal,Harsh,"Queens, NY",BC,,,,
A Light in the Dark,Insomnia,June 8,LP,Blackgaze,Mixed,"Podolsk, Russia",BC,S,,,
Nightmare Scenario,Absurdities Vol. 1,June 8,EP,"Experimental, Swing, New Wave",Clean,"Greensboro, NC",BC,,,,
Behold The Arctopus,Hapeleptic Overtrove,June 12,LP,"Prog-metal, Avant-garde Death metal",Instrumental,"New York, NY",BC,S,YT,,
