2023 Progressive Rock Albums,,Releases:,1065,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
         FranticDav | Faceless_Aeons
tapestrymusicpodcast | ickybus
  Vortexpro000 | theSmilingCow
   PyroL | Fayiron
Unsinful",,,Images & Words: The Prog Discord,,,
Eyeless Owl,Murmurations,January 27,LP,"Prog-rock, Avant-Prog",Instrumental,"Saugerties, NY",BC,S,,,
Rain,Radio Silence,January 27,LP,Prog-rock,Clean,UK,BC,S,,,
BRUIT ≤,"Apologie du temps perdu, Vol. 1",January 27,EP,"Post-rock, Ambient",Instrumental,"Toulouse, France",BC,,,,
Giant Sleep,Grounded To The Sky,January 27,LP,"Prog-rock, Stoner rock",Clean,Germany,BC,S,YT,,
Parannoul,After the Magic,January 28,LP,"Art rock, Indie rock, Shoegaze",Clean,"Seoul, South Korea",BC,S,,,
Peter Gee,Pilgrim,February 2,LP,Prog-rock,Clean,UK,,S,,,
What Strange Beasts,Starlight's Castaways,February 3,LP,"Prog-rock, Psychedelic rock",Clean,"Washington, WA",BC,S,,,
The Winery Dogs,III,February 3,LP,Hard rock,Clean,"Brooklyn, NY",,S,,,
A Reason To Travel,Concrete Sunrise,February 3,LP,Post-rock,Instrumental,"Copenhagen, Denmark",BC,S,,,
Zopp,Dominion,February 3,LP,Prog-rock ,Clean,"Nottingham, UK",BC,S,YT,,
Faded Paper Figures,Morningside,February 3,LP,"Indie rock, Electronic",Clean,"Los Angeles, CA",BC,S,,,
Clouds Taste Satanic,Tales Of Demonic Possession,February 3,LP,"Stoner rock, Doom metal",Instrumental,"New York, NY",BC,S,,,
Swell O,Morning Haze,February 3,LP,Stoner rock,Clean,"Bremen, Germany",BC,S,,,
Ricochets,Closer to the Light,February 3,LP,Hard rock,Clean,"Fredrikstad, Norway",BC,S,,,
The Lightsenders,...And When the Sky Was Opened,February 3,LP,Post-rock,Instrumental,"Phoenix, AZ",BC,S,,,
Tropical Fuck Storm,Submersive Behaviour,February 3,EP,"Psychedelic rock, Art Punk",Clean,"Melbourne, Australia",BC,S,,,
STAHV,Simple Mercies,February 3,EP,Post-rock,Clean,"Seattle, WA",BC,S,,,
Tombouctou,Tricky Floors,February 3,LP,"Experimental rock, Noise rock",Clean,"Lyon, France",BC,S,,,
Tog,Megamax,February 3,LP,"Prog-rock, Jazz rock",Instrumental,Norway,BC,S,,,
Zebedy,Waiting for the Tide,February 3,LP,"Prog-rock, Alt-rock",Clean,UK,BC,S,,,
Citrus Moon,Citrus Moon,February 3,LP,"Prog-rock, Math rock",Instrumental,"Chicago, IL",BC,S,,,
Holy Water,Holy Water,February 3,LP,"Post-Punk, Shoegaze",Clean,"Austin, TX",BC,S,,,
We Came From Space,Overlords,February 3,LP,"Prog-rock, Heavy Prog",Clean,"Pittsburgh, PA",BC,S,,,
Luje,Raving Track,February 3,LP,"Indie rock, Shoegaze",Clean,"Lyon, France",BC,S,,,
Stella Kola,Stella Kola,February 3,LP,Folk rock,Clean,"Massachusetts, MA",BC,S,,,
Cleõphüzz,Mystic Vulture,February 7,LP,"Psychedelic rock, Stoner rock",Clean,"Québec, Canada",BC,S,,,
Ancient Teeth,Deathbed,February 7,LP,"Alt-rock, Shoegaze",Clean,Canada,BC,S,,,
Old Mine Universe,This Vast Array,February 8,LP,"Prog-rock, Stoner rock, Hard rock",Clean,"Toronto, Canada",BC,S,,,
Oiapok,OisoLün,February 9,LP,"Prog-rock, Future Jazz",Clean,"Strasbourg, France",BC,S,,,
Miss Mellow,Miss Mellow,February 9,LP,"Prog-rock, Psychedelic rock",Clean,"Munich, Germany",BC,S,YT,,
eMolecule,The Architect,February 10,LP,"Prog-rock, Heavy Prog, Electronic",Clean,International,,S,,,
Paramore,This Is Why,February 10,LP,Pop rock,Clean,"Nashville, TN",,S,,,
Hubris.,The One Above,February 10,LP,Post-rock,Instrumental,"Fribourg, Switzerland",BC,S,,,
Narrow Head,Moments of Clarity,February 10,LP,"Alt-rock, Shoegaze",Clean,"Houston, TX",BC,S,YT,,
Klone,Meanwhile,February 10,LP,"Prog-rock, Alt-rock",Clean,France,BC,S,,,
Cosse,It Turns Pale,February 10,LP,"Post-rock, Noise rock",Clean,"Paris, France",BC,S,,,
Iterum Nata,Trench of Loneliness,February 10,LP,"Psychedelic rock, Folk rock",Clean,Finland,BC,S,YT,,
Dobbeltgjenger,The Twins,February 10,LP,Alt-rock,Clean,"Bergen, Norway",BC,S,,,
Various Artists,Intrigue (Steve Wilson presents Progressive Sounds In UK Alternative Music 1979–89),February 10,LP,New wave and prog rock,Clean,International,,,,,
El Ten Eleven,Valley of Fire,February 10,LP,Post-rock,Instrumental,"Los Angeles, CA",BC,S,,,
Pierce The Veil,The Jaws Of Life,February 10,LP,"Post-Hardcore, Pop Punk",Mixed,"San Diego, CA",BC,S,,,
Days Before Tomorrow,Now and Then Part II: Stories and Dreams,February 10,LP,"Prog-rock, Arena rock",Clean,"Montville, NJ",BC,S,,,
Eudaimonia,Layers,February 12,LP,Psychedelic rock,Instrumental,"Erlangen, Germany",BC,S,,,
The Lightsenders,T-LI : GO,February 14,EP,Post-rock,Instrumental,"Phoenix, AZ",BC,,,,
Ghostlight,From Above,February 16,LP,Prog-rock,Clean,"Warsaw, Poland",BC,S,,,
Polymoon,Chrysalis,February 17,LP,"Prog-rock, Psychedelic rock",Clean,"Tampere, Finland",BC,S,,,
Hail the Void,Memento Mori,February 17,LP,Stoner rock,Clean,"Victoria, Canada",BC,S,YT,,
Shell Beach,Solar Flare,February 17,LP,"Alt-rock, Post-Hardcore",Mixed,Hungary,BC,S,YT,,
Pile,All Fiction,February 17,LP,"Post-Hardcore, Indie rock",Mixed,"Nashville, TN",BC,S,,,
Vain Valkyries,The Great Suffering,February 17,LP,"Alt-rock, Grunge",Clean,"Rouen, France",BC,S,,,
Genesis,Watcher of the Skies - 1972,February 17,LP,"Prog-rock, Symphonic Prog",Clean,"London, UK",,,,,
Koenjihyakkei,Nivraym (Revisited),February 17,LP,"Jazz rock, Zeuhl, Brutal Prog",Clean,"Tokyo, Japan",BC,S,,,
Betty Benedeadly & Braden Guess,At the Institute of Mentalphysics,February 17,LP,"Psychedelic rock, Surf rock, Folk",Clean,"Austin, TX",BC,S,,,
The Gangly Youth,Nothing Less,February 17,LP,"Prog-rock, Math rock",Clean,"Melbourne, FL",BC,S,,,
Steve Terry Project,Last Light,February 17,LP,"Prog-rock, Jazz Fusion",Instru./Clean,"Athens, GA",BC,S,,,
Eternal Dust,"Spiritual Healers, Defence Lawyers",February 17,LP,"Art rock, Post-Punk, Dream Pop",Clean,"Sydney, Australia",BC,S,,,
Screaming Females,Desire Pathway,February 17,LP,"Indie rock, Garage rock",Clean,"New Brunswick, NJ",BC,S,,,
Chickensalt,Chickensalt,February 17,EP,"Alt-rock, Hard rock",Clean,"Adelaide, Australia",BC,S,,,
Owl,Geomancy,February 17,LP,Stoner rock,Clean,"Oakland, CA",BC,S,,,
Grandma's Ashes,This Too Shall Pass,February 17,LP,"Prog-rock, Stoner rock",Clean,"Paris, France",BC,S,,,
Quiet Signals,Quiet Signals,February 17,LP,Post-rock,Instrumental,"Dayton, OH",BC,S,,,
Alessia Obino,A Sound's A Million Shapes,February 17,LP,"Singer/Songwriter, Jazz rock",Clean,Italy,BC,S,,,
Pelegrin,Ways of Avicenna,February 17,LP,"Stoner rock, Heavy Psych",Clean,"Paris, France",BC,S,,,
Earthquake Lights,Desert Bloom,February 17,LP,"Indie rock, Orchestral rock",Clean,"New York, NY",BC,S,,,
Abanamat,Abanamat,February 17,LP,Psychedelic rock,Clean,"Berlin, Germany",BC,S,,,
Kitchen Sink,Clandestiny,February 17,LP,Prog-rock,Clean,"Erie, PA",BC,S,,,
Enoch Root,Delusion,February 19,LP,"Prog-rock, Alt-rock",Clean,"New York, NY",BC,S,,,
Give Up to Failure,Cocoon,February 20,LP,"Post-rock, Shoegaze",Clean,"Wrocław, Poland",BC,S,,,
Lazuli,11,February 20,LP,"Prog-rock, Symphonic",Clean,"Deaux, France",,S,,,
Daikaiju,Phase 3,February 21,LP,"Prog-rock, Surf rock",Instrumental,"Huntsville, AL",BC,S,,,
Rick Miller,Altered States,February 21,LP,Prog-rock,Clean,"Lakefield, Canada",BC,S,,,
Dark Star,...Out Flew Reason,February 21,LP,"Psychedelic rock, Alt-rock",Clean,"London, UK",BC,,,,
Khan,Creatures,February 22,LP,"Psychedelic rock, Heavy Psych",Clean,"Melbourne, Australia",BC,S,,,
Transatlantic,The Final Flight: Live At L’Olympia,February 23,LP,"Prog-rock, Symphonic Prog",Clean,US / UK / Sweden,,S,,,
Mankurt,"Někdo má, někdo je",February 23,LP,"Noise rock, Mathcore",Mixed,"Neratov, Czechia",BC,S,,,
BrokenTeeth,추락은 천천히 (How to Sink Slowly),February 23,LP,"Post-rock, Shoegaze",Clean,"Seoul, South Korea",BC,S,,,
Death Valley Girls,Islands in the Sky,February 24,LP,Psychedelic rock ,Clean,"Los Angeles, CA",BC,S,,,
NAUT,Hunt,February 24,LP,"Gothic rock, Post-Punk",Clean,"Bristol, UK",BC,S,YT,,
Pil & Bue,Special Agents,February 24,LP,Alt-rock,Clean,Norway,BC,S,,,
Upcdownc,Duel,February 24,LP,Post-rock,Instrumental,"Medway, UK",BC,S,,,
Le Mur,Caelum Invictus,February 24,LP,Alt-rock,Clean,"Murcia, Spain",BC,S,YT,,
El Supremo,Acid Universe,February 24,LP,"Psychedelic rock, Stoner rock",Instrumental,"Fargo, ND",BC,S,,,
The Alan Parsons Project,The Turn of a Friendly Card,February 24,LP,"Prog-rock, Pop Prog",Clean,UK,,S,,,
Shame,Food for Worms,February 24,LP,"Art rock, Post-Punk",Clean,"London, UK",BC,S,,,
Ygør Keim,New Kingdom,February 24,LP,Industrial rock,Clean,"Tours, France",BC,S,,,
Lost Years,Wish You Weren't Here,February 24,LP,"Alt-rock, Post-Punk",Clean,"Indiana, IN",BC,S,,,
Sound of Smoke,Phases,February 24,LP,"Psychedelic rock, Blues rock, Soul",Clean,"Freiburg, Germany",BC,S,,,
Kauan,ATM Revised,February 24,LP,Post-rock,Clean,"Tallinn, Estonia",BC,S,YT,,
Lemon Pitch,Threat of Weather,February 24,LP,Indie rock,Clean,"Portland, ME",BC,S,,,
Westing,Future  ,February 24,LP,"Stoner rock, Hard rock, Blues rock",Clean,"Visalia, CA",BC,S,YT,,
VLMV,RedivideR,February 24,EP,"Post-rock, Ambient",Instrumental,"London, UK",BC,S,,,
Teksti-TV 666,Vapauden tasavalta,February 24,LP,"Noise rock, Indie rock",Clean,"Helsinki, Finland",BC,S,,,
Lost Minnow,Dear Ghost,February 24,EP,"Prog-rock, Post-Hardcore, Math rock",Clean,"A Coruña, Spain",BC,S,,,
Rick Wakeman,A Gallery Of The Imagination,February 24,LP,"Prog-rock, Keyboard",Instrumental,"Perivale, England",BC,S,,,
Machiavellian Art,Indoctrination Sounds,February 24,LP,"Noise rock, Post-Punk, Psychedelic",Harsh,"Walsall, UK",BC,,,,
Hell is For Heroes,I Should Never Have Been Here In The First Place,February 24,EP,Alt-rock,Clean,"London, UK",BC,,,,
Seventh Legend,After Death,February 24,LP,"Prog-metal, Hard rock, Symphonic rock",Clean,"Austin, TX",BC,S,,,
Datadyr,Keymaster,February 24,EP,Jazz rock,Instrumental,Norway,BC,S,,,
Autodidact Dreams,Autodidact Dreams,February 24,LP,"Alt-rock, Dream Pop",Clean,"London, UK",BC,S,,,
Pleasure Chest,Pleasure Chest,February 24,LP,"Deathrock, Post-Punk",Clean,"Sydney, Australia",BC,S,,,
Yannika,The Effect Of Time,February 24,EP,"Singer/Songwriter, Folk rock",Clean,"Hamburg, Germany",BC,S,,,
Lorenzo Ceci,Dive,February 24,EP,"Prog-rock, Jazz Fusion",Instrumental,"Milan, Italy",BC,S,,,
Oranzada,Karma Tango,February 24,LP,Psychedelic rock,Clean,"Warszawa, Poland",BC,S,,,
Model/Actriz,Dogsbody,February 24,LP,"Noise rock, Dance Punk",Clean,"Brooklyn, NY",BC,S,,,
Dominic Sanderson,Impermanence,February 25,LP,Prog-rock,Clean,"Wakefield, UK",BC,S,,,
Tritop,Rise of Kassandra,February 25,LP,Prog-rock,Clean,"Rome, Italy",BC,S,,,
Poseidon,Poseidon,February 28,LP,"Psychedelic rock, Dark Ambient",Clean,Italy,BC,,,,
Child,Soul Murder,February 28,LP,"Blues rock, Stoner rock, Heavy Psych",Clean,"Melbourne, Australia",BC,S,,,
Inner Prospekt,Canvas Three,March 2,LP,Prog-rock,Clean,"Rome, Italy",BC,S,,,
The Veils,.​.​.​And Out Of The Void Came Love,March 3,LP,Indie rock,Clean,UK,BC,S,,,
Stress Palace,Stress Palace,March 3,LP,Noise rock,Mixed,"Dallas, TX",BC,S,,,
HAVEMEYER,Slacker,March 3,LP,"Indie rock, Post-Punk",Clean,"Berlin, Germany",BC,S,YT,,
Object of Affection,Field Of Appearances,March 3,LP,Alt-rock,Clean,"Los Angeles, CA",BC,S,,,
Sandrider,Enveletration,March 3,LP,Stoner rock,Clean,"Seattle, WA",BC,S,,,
Bärlin,State of Fear,March 3,LP,"Post-rock, Indie rock, Jazz",Clean,"Lille, France",BC,S,,,
Nagasaki Swim,Everything Grows,March 3,LP,Indie rock,Clean,"Rotterdam, Netherlands",BC,S,,,
Djunah,Femina Furens,March 3,LP,Noise rock,Clean,"Chicago, IL",BC,S,,,
Grocer,Scatter Plot,March 3,EP,Indie rock,Clean,"Philadelphia, PA",BC,S,,,
Stoned Jesus,Father Light,March 3,LP,"Prog-rock, Stoner rock",Clean,Ukraine,BC,S,YT,,
Ljungblut,Sauda,March 3,EP,Alt-rock,Clean,Norway,BC,S,,,
Can't Swim,Thanks But No Thanks,March 3,LP,"Post-Hardcore, Alt-rock ",Clean,"Keansburg, NJ",BC,S,,,
Hands Up Who Wants to Die,Nil All,March 3,LP,"Post-Hardcore, Noise rock",Mixed,"Dublin, UK",BC,S,,,
Oscar Fritsch,A Moment of Absolute Acceptance,March 3,LP,"Art rock, Post-Punk",Clean,"Lyon, France",BC,S,,,
Inventory,Memory is a Plow,March 3,EP,"Alt-rock, Indie rock, Slowcore",Clean,"Copenhagen, Denmark",BC,S,,,
Epiq,Pas Bravo La Viande,March 3,LP,"Punk rock, Afrobeat, Tribal",Instru./Clean,France,BC,S,,,
PoiL Ueda,PoiL Ueda,March 3,LP,"Prog-rock, Avant-garde, Brutal Prog",Clean,"Lyon, France",BC,S,,,
Black Helium,Um,March 3,LP,Psychedelic rock,Clean,"London, UK",BC,S,,,
Bard's Flying Vessel,Nightfall Generator,March 3,EP,"Psychedelic rock, Garage rock",Clean,"Brooklyn, NY",BC,S,,,
Black Stone Brewers,Conduit,March 3,EP,"Prog-rock, Alt-rock",Clean,"Perth, Australia",BC,S,,,
The Rainlamps,Like You Back,March 3,LP,Indie rock,Clean,"Buffalo, NY",BC,S,,,
Tinge,Big Deep Sigh,March 3,EP,Indie rock,Clean,"Manitoba, Canada",BC,S,,,
Xiu Xiu,Ignore Grief,March 3,LP,"Experimental rock, Art Pop",Clean,"Los Angeles, CA",BC,S,YT,,
L'Ira Del Baccano,Cosmic Evoked Potentials,March 3,LP,Psychedelic rock,Instrumental,"Rome, Italy",BC,S,,,
Home Front,Games of Power,March 3,LP,"Post-Punk, Coldwave",Clean,"Edmonton, Canada",BC,S,,,
Temptress,See,March 3,LP,"Stoner rock, Heavy Psych",Clean,"Dallas, TX",BC,S,YT,,
Via Luna,Muted Earth,March 3,EP,"Post-rock, Math rock",Instrumental,"Kansas City, MO",BC,S,,,
A.C.T ,Falling,March 3,EP,Prog-rock,Clean,"Malmö, Sweden",,S,,,
Empires of Light,Aberrations,March 3,LP,Post-rock,Instrumental,"Portland, OR",BC,S,,,
Red Vox,Afterthoughts,March 3,LP,"Psychedelic rock, Neo-Psychedelia, Indie rock",Clean,"New York, NY",BC,S,YT,,
Eporos,Ameliorations,March 5,LP,Math rock,Instrumental,"Chicago, IL",BC,S,,,
Astral Hand,Lords of Data,March 6,LP,"Space rock, Heavy Psych",Clean,"Milwaukee, WI",BC,S,,,
Anatomy of the Heads,In the Realm of Allied Barbarians and Tributary Lords,March 7,LP,Experimental rock,Instru./Mixed,USA,BC,S,,,
DRYAD,Y,March 9,LP,Stoner rock,Clean,"Würzburg, Germany",BC,S,YT,,
Clavicule,Full Of Joy,March 10,LP,"Psychedelic rock, Garage Punk",Clean,"Rennes, France",BC,S,YT,,
Giant Brain,Grade A Gray Day,March 10,LP,"Prog-rock, Krautrock",Instru./Clean,"Detroit, MI",BC,S,,,
Jolle,Wirtschaft Arbeit Technik,March 10,LP,"Prog-rock, Psychedelic rock, Garage rock",Clean,"Potsdam, Germany",BC,S,,,
Plain Speak,Calamity,March 10,LP,"Indie rock, Midwest Emo",Clean,"Norman, OK",BC,S,,,
Dispirited Spirits,The Redshift Blues,March 10,LP,"Art rock, Jazz rock, Emo Pop",Clean,Portugal,BC,S,,,
Smote,Genog,March 10,LP,"Psychedelic rock, Drone",Instrumental,UK,BC,S,,,
Scree,Jasmine On A Night In July,March 10,LP,Jazz rock,Instrumental,"Brooklyn, NY",BC,S,,,
Common Wounds ,self titled,March 10,EP,"Post-Hardcore, Noise rock",Mixed,"Phoenix, AZ",BC,S,,,
Thayer Sarrano,Ancient Future,March 10,LP,"Psychedelic rock, Dream Pop, Gothic",Clean,"Athens, GA",BC,S,,,
Wild Tales,I II III,March 10,LP,"Pop rock, Indie rock, Math rock",Clean,"Guildford, UK",BC,S,,,
Coridian,Hava,March 10,LP,"Prog-rock, Alt-rock",Clean,"Auckland, New Zealand",BC,S,,,
Ella Zirina,Intertwined,March 10,LP,Jazz,Instrumental,"Amsterdam, Netherlands",BC,S,,,
Malombra,T.R.E.S.,March 10,LP,"Prog-rock, RPI, Gothic",Clean,Italy,,S,,,
Buffalo Daughter,I,March 10,LP,"Experimental rock, Indie rock, Electronic",Clean,"Tokyo, Japan",BC,S,,,
Orbits,Impulse,March 10,LP,Jazz Fusion,Instrumental,"Berlin, Germany",BC,S,,,
Manchester Orchestra,The Valley Of Vision,March 10,EP,"Indie rock, Alt-rock, Folk",Clean,"Atlanta, GA",BC,S,,,
Story Of The Year,Tear Me to Pieces,March 10,LP,"Post-Hardcore, Pop Punk",Mixed,"St. Louis, MO",,S,,,
Thomas Fratti,Temps Suspendu,March 13,LP,"Prog-rock, Jazz Fusion",Instrumental,"Marseille, France",BC,S,,,
Yossi Sassi & The Oriental Rock Orchestra,Prediluvian,March 13,LP,"Prog-rock, Oriental",Instru./Clean,Israel,BC,S,,,
