2019 Progressive Metal Albums,,Releases:,424,"Sort by Artist, Vocal Style, or Genre:
Data -> Filter views... -> ...
Or create your own Filter View:
Data -> Filter views... -> Create a new filter view","Collaborators: 
/u/FranticDav
/u/Faceless_Aeons
/u/tapestrymusicpodcast
/u/ickybus",,Images & Words: The Prog Discord,,,,,
Nailed to Obscurity,Black Frost,January 11,LP,"Melodic Death metal, Doom metal, Prog-metal",Mixed,Germany,BC,S,GP,YT,Az,🍎
Ora,Astral Throne,January 11,LP,"Prog-metal, Doom metal, Sludge metal",Harsh,"Salt Lake City, UT",BC,,,,,
The Ephemeral,Komorebi,January 11,EP,"Prog-metal, Djent, Metalcore",Mixed,"Phoenix, AZ",,S,GP,YT,Az,🍎
Volucrine,Skywards,January 11,LP,"Prog-metal, Melodic Death metal, Alt-metal",Mixed,"Kouvola, Finland",BC,S,GP,YT,Az,🍎
Wolfhorde,Hounds of Perdition,January 11,LP,"Folk metal, Black metal, Pagan metal",Mixed,Finland,BC,S,GP,YT,Az,🍎
Alyaz,Portrait,January 12,EP,"Prog-metal, Djent, Metalcore",Instrumental,"Al Kuwayt, Kuwait",BC,S,GP,YT,Az,🍎
Tribunus,To End The Skies,January 12,LP,"Prog-metal, Metalcore, Deathcore",Harsh,"Tucson, AZ",,S,GP,YT,Az,🍎
Cylon Jesus,Sin,January 15,LP,"Prog-metal, Groove",Instrumental,OR & AK,,S,GP,YT,Az,🍎
Malum Sky,Diatribe,January 15,EP,"Prog-metal, Djent",Clean,Wales,,S,GP,YT,Az,🍎
Allure of Stellar,Decline,January 16,EP,"Prog-metal, Djent, Orchestral",Instrumental,"Glasgow, UK",BC,S,GP,YT,,🍎
Kento Arima,The Core,January 16,LP,Prog-metal/rock,Instrumental,Japan,,S,GP,YT,Az,🍎
Aloys A. Raven,Omnibus,January 17,LP,"Prog-metal/rock, Symphonic",Clean,"Turku, Finland",,S,GP,YT,Az,🍎
Michael Harris,Orchestrate II: Rage & Restraint,January 17,LP,"Prog-metal, Neoclassical, Speed metal",Instrumental,"Dayton, OH",,S,GP,YT,Az,🍎
Endolith,Chicxulub - The Fossil Record,January 18,LP,"Prog-metal, Death Metal, Avant-garde",Mixed,"Tromsø, Norway",,S,GP,YT,Az,🍎
Helium Horse Fly,Hollowed,January 18,LP,"Post-metal, Experimental, Avant-garde",Clean,"Liège, Belgium",BC,S,GP,YT,Az,🍎
Kadinja,Super 90',January 18,LP,"Prog-metal, Metalcore, Djent",Mixed,"Paris, France",BC,S,GP,YT,Az,🍎
Marc Durkee,Remain In Stasis,January 18,LP,"Prog-metal/rock, Alt-rock, Folk",Clean,"Yarmouth, NS",BC,S,GP,YT,Az,🍎
Stone For Soil,Vestigial,January 20,LP,Prog-metal/rock,Instrumental,"Irvine, California",BC,S,GP,YT,Az,🍎
Mendel,"The Blood, The Sin, and The Djinn",January 23,EP,"Prog-metal, Djent",Instrumental,Netherlands,BC,S,GP,YT,Az,🍎
Rudy Ayoub,Anthropomorphic Analysis,January 23,EP,"Prog-metal, Jazz Fusion",Instrumental,"Los Angeles, CA",BC,S,GP,YT,Az,🍎
Anabasis,Of Conviction,January 25,LP,Prog-metal,Mixed,"Syracuse, NY",BC,S,GP,YT,,🍎
Ancient Bards,Origine: The Black Crystal Sword Saga Part 2 ,January 25,LP,"Power metal, Symphonic",Mixed,Italy,BC,S,GP,YT,Az,🍎
Andres Osorio Toledo,The Rapture,January 25,LP,"Prog-metal, Experimental",Instrumental,Colombia,,S,GP,YT,Az,🍎
Cody McKenna's The Circle of Wonders ,Volume II: Tribes & Oddities ,January 25,LP,"Prog-metal/rock, Alt-rock",Clean,"Burbank, CA",BC,S,,YT,Az,
Desecravity,Anathema,January 25,LP,Technical Death metal,Harsh,Japan,BC,S,GP,YT,Az,🍎
Evergrey,The Atlantic,January 25,LP,"Prog-metal, Power metal, Melodic",Clean,"Gothenburg, Sweden",,S,GP,YT,Az,🍎
Fearing the Hill,Sweet Williams,January 25,EP,"Prog-metal, Eclectic Prog",Clean,"Toronto, ON",,S,GP,YT,Az,🍎
Ions,Ions,January 25,LP,"Prog-metal, Alt-metal",Clean,"Prague, Czech Republic",BC,S,GP,YT,Az,🍎
Stone Merrick,Ruler of the Seas,January 25,LP,"Prog-metal, Symphonic, Power metal",Clean,"Dallas, TX",,S,GP,YT,Az,🍎
Swallow The Sun,When A Shadow Is Forced Into The Light ,January 25,LP,"Melodic Death metal, Doom metal",Mixed,Finland,,S,GP,YT,Az,🍎
Tear Light from Matter,In Statu Nascendi,January 25,LP,"Prog-metal, Jazz Fusion, Avant-garde",Instrumental,"Dartmouth, MA",BC,S,GP,YT,Az,🍎
Panopticon,The Crescendo of Dusk,January 26,EP,"Black metal, Prog-metal, Folk metal",Harsh,Minnesota,BC,,GP,YT,Az,🍎
Quiescency,Message for Lamb,January 26,LP,"Metalcore, Prog-metal",Mixed,"Kyshtym, Russia",BC,S,GP,YT,Az,🍎
Eros,Aquarian,January 27,LP,"Prog-metal, Electonic, Djent",Instru./Mixed,"Houston, TX",,S,GP,YT,Az,🍎
Prawg Dawg,Prawg Dawg,January 27,LP,"Prog-metal, Djent",Instrumental,"Fresno, CA",,S,GP,YT,Az,🍎
Hazpiq,Cepheid,January 28,LP,"Prog-metal, Alt-metal",Mixed,"Paris, France",BC,S,GP,YT,Az,🍎
Cosmic Rain,Seekers,January 30,LP,"Prog-metal/rock, Doom, Grunge",Clean,"Geneva, Switzerland",,S,GP,YT,Az,🍎
Michel Oliveira,Time To Rest,January 30,LP,"Prog-metal, Djent",Mixed,"São Paulo, Brazil",,S,GP,YT,Az,🍎
Living Impressions,The Big Dipper,January 31,LP,"Prog-metal, Djent, Jazz Fusion",Instrumental,"Leiria, Portugal",BC,S,GP,YT,Az,🍎
Target,Deep Water Flames,January 31,LP,"Prog-metal, Technical Death Metal",Harsh,"Santiago, Chile",BC,S,GP,YT,Az,🍎
Astronoid,Astronoid,February 1,LP,"Prog-metal, Blackgaze, Dream Pop, Post-rock",Clean,"Boston, MA",BC,S,GP,YT,Az,🍎
Elkhsha,Farther Giants,February 1,LP,"Prog-metal/rock, Post-hardcore",Mixed,Southern California,BC,S,GP,YT,Az,🍎
Hedfuzy,Waves,February 1,LP,"Prog-metal, Alt-metal",Clean,"Limerick, Ireland",BC,S,GP,YT,Az,🍎
Not Otherwise Specified,Deadweight,February 1,LP,"Prog-metal/rock, Heavy prog",Clean,"Atlanta, GA",BC,S,GP,YT,Az,🍎
Onydia,Reflections,February 1,LP,"Prog-metal, Djent",Clean,"Rome, Italy",,S,GP,YT,Az,🍎
Soen,Lotus,February 1,LP,"Prog-metal, Alt-metal",Clean,Sweden,,S,GP,YT,Az,🍎
Steve Dadaian,Follow The Light,February 1,LP,Prog-metal,Instrumental,"Cresskill, New Jersey",BC,S,GP,YT,Az,🍎
Ünum,Contemplatif,February 1,LP,"Prog-metal, Post metal, Experimental, Ambient",Instru./Clean,"Montreal, QC",BC,S,,,Az,🍎
Within Temptation,Resist,February 1,LP,"Prog-metal, Symphonic, Power",Clean,"Waddinxveen, Netherlands",,S,GP,YT,Az,🍎
Caldera,Tephra,February 2,LP,"Prog-metal, Post-metal, Doom metal, Atmospheric Sludge metal",Instrumental,"Athens, Greece",BC,,,YT,,
Digression Assassins,Oblivion,February 2,LP,"Prog-metal, Hardcore, Experimental",Clean,Sweden,BC,S,GP,YT,Az,🍎
A Novelist,Folie,February 4,LP,"Prog-metal, Death metal",Harsh,"Lafayette, LA",BC,S,GP,YT,Az,🍎
Autism,Have you found peace?,February 4,LP,"Prog-metal, Post-rock/metal",Mixed,"Vilnius, Lithuania",BC,S,GP,YT,Az,🍎
Luminescence,From Darkness​.​.​.,February 4,EP,Prog-metal,Instrumental,Slovenia,BC,S,GP,YT,Az,🍎
Deserted Fear,Drowned by Humanity,February 8,LP,Melodic Death metal,Harsh,"Eisenberg, Germany",,S,GP,YT,Az,🍎
Gerry Mancuso,Prophesy,February 8,LP,Prog-metal,Instru./Clean,"Valley Stream, NY",,S,GP,,Az,🍎
Labirinto,Divino Afflante Spiritu,February 8,LP,"Prog-metal, Post-metal",Instru./Harsh,"São Paulo, Brazil",BC,S,GP,YT,Az,🍎
Seer,Vol. 6,February 8,LP,"Doom metal, Sludge metal",Mixed,"Vancouver, Canada",BC,S,GP,YT,Az,🍎
Shokran,Ethereal,February 8,LP,"Prog-metal, Djent, Math rock, Oriental",Mixed,"Krasnodar, Russia",BC,S,GP,YT,Az,🍎
Veil of Conspiracy,"Me, Us and Them",February 8,LP,Prog-metal,Mixed,"Rome, Italy",,S,GP,YT,Az,🍎
Ascending From Ashes,Glory,February 9,LP,"Prog-metal, Metalcore, Alternative",Mixed,"Bergenfield, NJ",,S,GP,YT,Az,🍎
Byron Retamar,The Void,February 10,LP,"Prog-metal, Power metal",Clean,Puerto Rico,,S,GP,YT,Az,🍎
Brandon Burch,Disconnection,February 12,LP,"Prog-metal, Djent, Metalcore, Electronic, Industrial",Instrumental,AK,BC,S,GP,YT,Az,🍎
George Wilhelm,Ear to the Stars,February 12,LP,"Prog-metal/rock, Ambient",Instru./Clean,"Binghamton, NY",BC,S,GP,YT,Az,🍎
Mastord,Trail of Consequence,February 14,LP,"Prog-metal, Groove",Mixed,"Kotka, Finland",,S,GP,YT,Az,🍎
proAge,MPD,February 14,LP,"Prog-metal, Heavy-prog, Alternative",Mixed,"Będzin, Poland",,S,GP,,Az,🍎
Atrium,Gravity Dreams ,February 15,LP,"Prog-metal/rock, Djent",Instrumental,"Provo, UT",BC,S,GP,YT,Az,🍎
Avantasia,Moonglow,February 15,LP,"Prog-metal, Symphonic, Power metal",Clean,Germany,,S,GP,YT,Az,🍎
Herod,Sombre Dessein,February 15,LP,"Prog-metal, Sludge metal",Mixed,"Vevey, Switzerland",BC,S,GP,YT,Az,🍎
Kaleikr,Heart of Lead,February 15,LP,"Prog-metal, Black metal, Death metal",Harsh,"Reykjavík, Iceland",BC,S,GP,YT,Az,🍎
Saor,Forgotten Paths,February 15,LP,"Prog-metal, Atmosheric Black metal, Folk metal",Mixed,"Scotland, UK",BC,S,GP,YT,Az,🍎
Soledad,Catharsis,February 15,LP,"Prog-metal/rock, Symphonic",Mixed,"Metz, France",BC,S,GP,,Az,🍎
Diabolical,Eclipse,February 15,LP,"Blackened/Melodic Death metal, Symphonic, Prog-metal",Mixed,"Stockholm, Sweden",,S,GP,YT,Az,🍎
Liquid Horizon,Beyond Borders,February 20,LP,"Prog-metal, Power metal",Clean,"Mannheim, Germany",,S,GP,YT,Az,🍎
Aenimus,Dreamcatcher,February 22,LP,"Prog-metal, Technical Death metal",Harsh,"San Francisco, CA",BC,S,GP,YT,Az,🍎
Delain,Hunter's Moon,February 22,EP,"Prog-metal, Gothic, Melodic",Clean,"Zwolle, Netherlands",BC,S,GP,YT,Az,🍎
Dream Theater,Distance Over Time,February 22,LP,Prog-metal/rock,Clean,"Long Island, NY",,S,GP,YT,Az,🍎
Dronte,Quelque part entre la guerre et la lâcheté ,February 22,LP,"Prog-metal, Post-metal, Acoustic",Mixed,France,BC,S,GP,YT,Az,🍎
Ghost Iris,Apple Of Discord,February 22,LP,"Prog-metal, Metalcore, Djent",Mixed,Denmark,BC,S,GP,YT,Az,🍎
Marco Sfogli,Homeland,February 22,LP,Prog-metal,Instrumental,"Napoli, Italy",,S,GP,YT,Az,🍎
Mortanius,Till Death Do Us Part,February 22,LP,"Prog-metal, Power metal, Symphonic, Neoclassical",Clean,"Plymouth Meeting, PA",,S,GP,YT,Az,🍎
Rhapsody of Fire,The Eighth Mountain,February 22,LP,"Prog-metal, Power, Symphonic",Clean,"Trieste, Italy",,S,GP,YT,Az,🍎
Shumaun,One Day Closer to Yesterday,February 22,LP,"Prog-metal, Hard-rock, Groove",Clean,"Woodbridge, VA",,S,GP,YT,Az,🍎
The Anima Effect,Terminal Encryption,February 22,EP,"Prog-metal, Djent, Deathcore",MIxed,"Redding, CA",BC,S,GP,YT,Az,🍎
The Chemical Mind,Beneath the Shadow it Casts,February 22,LP,"Prog-metal, Atmospheric Black metal, Blackgaze",Harsh,"Dallas, TX",BC,S,GP,YT,Az,🍎
Time Symmetry,Ghosts,February 22,LP,"Prog-metal, Symphonic, Power",Clean,"Madrid, Spain",,S,GP,YT,Az,🍎
Wheel,Moving Backwards,February 22,LP,"Prog-metal, Doom metal",Clean,"Helsinki, Finland",,S,GP,YT,Az,🍎
Blackbirch,Neapolis,February 23,LP,Prog-metal/rock,Clean,"Modena, Italy",BC,S,GP,YT,Az,🍎
Dreamwalkers Inc,First Re-Draft,February 25,LP,"Prog-metal, Symphonic",Clean,"Amersfoort, Netherlands",,S,GP,YT,Az,🍎
Many Faced God,Doubt,February 25,LP,"Prog-metal, Djent, Metalcore",Mixed,"Orlando, FL",BC,S,GP,YT,Az,🍎
Stefan Petanovski,Architect of Reality,February 27,LP,Prog-metal,Instrumental,"Skopje, North Macedonia",,S,GP,YT,Az,🍎
Anvil Therapy,Duality,February 28,LP,"Prog-metal, Symphonic, Seventh Wonder-ish",Clean,"Florence, Italy",,S,GP,YT,Az,🍎
Darkwater,Human,March 1,LP,"Prog-metal, Symphonic",Clean,Sweden,,S,GP,YT,Az,🍎
Degraey,Reveries,March 1,LP,"Prog-metal, Post-metal",Mixed,"Barcelona, Spain",BC,S,GP,YT,Az,🍎
Diviion,Journey of the Time Shaman,March 1,LP,"Prog-metal, Sludge metal, Thrash metal",Mixed,UK,BC,,,,,
ni,Pantophobie,March 1,LP,"Prog-metal, Avant-garde, Mathcore",Instru./Mixed,"Bourg en Bresse, France",BC,S,GP,YT,Az,🍎
Pale Moon,Planetary Engineering,March 1,LP,"Prog-metal, Djent",Instrumental,"Melbourne, Australia",BC,S,,YT,Az,🍎
Queensrÿche,The Verdict,March 1,LP,"Prog-metal, Power metal",Clean,"Seattle, WA",,S,GP,YT,Az,🍎
Red Cain,Kindred: Act 1,March 1,LP,"Prog-metal, Power metal, Symphonic, Melodic",Mixed,"Calgary, AB",BC,S,,,Az,🍎
Riparian,Riparian,March 1,EP,"Death metal, Grindcore",Harsh,"Pittsburgh, PA",BC,S,GP,,Az,
Source,Totality,March 1,LP,"Prog-metal, Alt-metal",Mixed,"Boulder, CO",,S,GP,YT,Az,🍎
Tidecaller,The Rift,March 1,LP,"Prog-metal, Punk, Heavy prog, Indie",Clean,"Kingston, Ontario",BC,,GP,YT,Az,
0N0,Cloaked Climax Concealed,March 3,EP,"Prog-metal, Experimental, Doom metal, Industrial",Mixed,"Bratislava, Slovakia",BC,S,GP,YT,Az,
Annihilus Mundi,Grief,March 8,LP,"Prog-metal, Death metal",Harsh,"Boston, MA",BC,S,GP,YT,Az,
Bergraven,Det Framlidna Minnet,March 8,LP,"Prog-metal, Black metal, Experimental",Harsh,"Malmö, Sweden",BC,S,GP,YT,Az,🍎
Cleric,The Book Beri'ah Vol. 2: Chokhma,March 8,LP,"Avant-garde, Mathcore, Jazz, Prog-metal",Harsh,"Philadelphia, PA",,,,,Az,🍎
Equipoise,Demiurgus,March 8,LP,"Prog-metal, Technical Death metal",Harsh,"Pittsburgh, PA",BC,S,GP,YT,Az,🍎
Kruyssen,Metanoia,March 8,LP,Prog-metal,Clean,"Natal, Brazil",,S,GP,YT,,🍎
Parad1gm,Parad1gm,March 8,LP,"Prog-metal, Electronic, Industrial",Clean,"Paris, France",BC,S,GP,,Az,🍎
Poh Hock,Ātma,March 8,EP,"Prog-metal, Experimental",Instrumental,"Kuala Lumpur, Malaysia",BC,S,GP,YT,Az,🍎
Sâver,They Came With Sunlight,March 8,LP,"Post-metal, Doom metal, Hardcore",Harsh,"Oslo, Norway",BC,S,GP,YT,Az,🍎
TÝR,Hel,March 9,LP,"Prog-metal, Viking, Folk, Black Metal",Harsh,"Copenhagen, Denmark",BC,S,GP,,,🍎
Icarus Machine,Corium,March 10,LP,"Prog-metal, Melodic, Heavy prog",Clean,"Lakeville, MA",BC,S,GP,YT,Az,🍎
Thy Station,The Standing Man,March 10,LP,"Prog-metal, Heavy prog",Clean,Mexico/Chile,,S,GP,YT,Az,
Ciconia,Meraki,March 11,LP,"Prog-metal, Post-hardcore",Instrumental,Spain,BC,S,GP,YT,,🍎
IER,うずまき,March 12,LP,"Atmospheric Black metal, Prog-metal, Death metal, Experimental",Mixed,"Valentín Alsina, Argentina",BC,,,,,
Contrarian,Their Worm Never Dies,March 15,LP,"Prog-metal, Death metal, Avant-garde",Harsh,"Rochester, NY",BC,S,GP,YT,Az,🍎
Fallujah,Undying Light,March 15,LP,"Prog-metal, Death metal",Mixed,CA,,S,GP,YT,Az,🍎
Incandescence,Ascension,March 15,LP,"Black metal, Prog-metal, Death metal",Harsh,"Montreal, Québec",BC,S,,YT,,
Now in Colour,Now in Colour,March 15,LP,"Prog-metal/rock, Experimental",Clean,"Sydney, NW",BC,S,GP,YT,Az,🍎
Oozing Wound,High Anxiety,March 15,LP,"Doom metal, Sludge metal, Thrash metal",Harsh,"Chicago, IL",BC,S,GP,YT,Az,🍎
OSM,Which Way?,March 15,LP,"Prog-metal, Experimental",Clean,"Poitiers, France",BC,S,GP,,Az,🍎
Roman Rouzine,Humans,March 15,LP,Prog-metal,Instrumental,"Tours, France",,S,GP,YT,Az,🍎
Astraeon,Zenith Transient,March 17,LP,"Prog-metal, Experimental, Avant-garde",Instrumental,"Dhaka, Bangladesh",BC,S,,YT,Az,🍎
Raiju,Non Sequitur,March 19,LP,"Prog-metal, Math rock, Post-hardcore",Mixed,"San Francisco, CA",BC,S,GP,YT,Az,🍎
Chronologist,Equinox I,March 20,EP,"Prog-metal, Djent",Instrumental,"Austin, TX",BC,S,GP,YT,Az,🍎
Dreams of the Drowned ,Dreams of the Drowned I,March 20,LP,"Prog-metal, Avant-garde, Black metal",Harsh,"Évreux, France",BC,S,,,,
E.A.R.,"A æ u å æ ø i æ å, æ i å u å æ ø i æ å?",March 21,LP,"Prog-metal, World, Fusion, Avant-garde",Clean,"El Mas De Flors, Spain",BC,S,GP,YT,Az,🍎
Aephanemer,Prokopton,March 22,LP,"Melodic death metal, Symphonic metal",Mixed,"Toulouse, France",BC,S,GP,YT,Az,🍎
Appearance of Nothing,In Times of Darkness,March 22,LP,"Prog-metal, Power metal",Clean,"Basel, Switzerland",,S,GP,YT,Az,🍎
Ashen Horde,Fallen Cathedrals,March 22,LP,"Prog-metal, Black metal, Death metal",Mixed,"Los Angeles, CA",BC,S,GP,YT,Az,🍎
S91,Along the Sacred Path,March 22,LP,"Prog-metal, Symphonic",Clean,"Montecarlo, Italy",,S,GP,YT,Az,🍎
Sermon,Birth of the Marvellous,March 22,LP,"Prog-metal, Alt-metal, Atmospheric",Mixed,"London, UK",BC,S,GP,,Az,🍎
Shabti,Trembling and Shorn,March 22,LP,"Black metal, Thrash metal, Technical Death metal, Prog-metal",Harsh,"Portland, ME",BC,S,GP,YT,Az,🍎
Stephen Taranto,Permanence,March 22,EP,"Prog-metal, Djent",Instrumental,"Sydney, Australia",BC,S,GP,YT,Az,🍎
The Great Discord,Afterbirth,March 22,EP,"Prog-metal, Melodic Death metal",Clean,"Linköping, Sweden",BC,S,GP,YT,Az,🍎
Vielikan,Back to the Black Marsh,March 22,LP,"Prog-metal, Post-metal, Death metal, Doom metal",Harsh,"Tunis, Tunisia",BC,S,GP,YT,Az,🍎
Cedith,Dawn of Man,March 23,LP,"Prog-metal/rock, Psychedelic",Instr./Clean,"Istanbul, Turkey",BC,S,GP,YT,Az,🍎
Ola Englund,Master of the Universe,March 24,LP,Prog-metal,Instrumental,"Stockholm, Sweden",,S,GP,YT,Az,🍎
Beyond the Mirror,The Broken Mirror,March 25,LP,"Prog-metal, Djent",Clean,"São Paulo, Brazil",,S,GP,YT,Az,🍎
Valerinne,Desire,March 25,LP,"Prog-metal, Post-metal, Drone",Instrumental,"București, Romania",BC,S,GP,YT,Az,🍎
Will of the Mountain,The Third Silence,March 25,LP,"Prog-metal, Symphonic, Ambient, Post",Mixed,Costa Rica,,S,GP,YT,Az,🍎
Signs Of Human Race,Inner Struggle Of Self-Acceptance,March 26,LP,"Prog-metal, Avant-garde",Mixed,"Brecia, Italy",,S,GP,,,
Conforza,Revival,March 29,EP,"Prog-metal, Technical Death metal, Metalcore",Harsh,"Southern, NH",,S,GP,YT,Az,🍎
Devin Townsend,Empath,March 29,LP,"Prog-metal, Avant-garde, Atmospheric",Mixed,"New Westminster, BC",,S,GP,YT,Az,🍎
East of the Wall,NP-Complete,March 29,LP,"Prog-metal, Post-metal, Experimental",Mixed,"Keyport, NJ",BC,S,GP,YT,Az,🍎
Emanuele Bodo,Unsafe Places,March 29,LP,"Prog-metal, Fusion",Instrumental,Italy,BC,S,GP,YT,Az,
Moon Tooth,Crux,March 29,LP,"Prog-metal/rock, Stoner rock",Mixed,"Long Island, NY",BC,S,GP,YT,Az,🍎
Red Handed Denial,Redeemer,March 29,LP,"Prog-metal, Metalcore",Mixed,"Toronto, ON",BC,S,GP,YT,Az,🍎
Tel,Lowlife,March 29,LP,"Prog-metal, Doom metal, Sludge metal",Mixed,"Richmond, VA",BC,S,GP,,Az,🍎
The Experiment No.Q,The Black Wounds of the Experiment no.Q,March 29,LP,"Prog-metal, Industrial, Steampunk",Mixed,"Turin, Italy",,S,GP,,,🍎
Frequency Eater,The Fine Game Of Nil,March 29,LP,"Prog-metal, Jazz, Fusion, Technical, Post",Clean,"Halen, Belgium",BC,S,GP,,,🍎
Caricature,The Fiction We've Become,April 1,LP,"Prog-metal, Djent, Hard rock",Mixed,"Boston, MA",BC,,,,,
Hungry Lights,Mudoo Ra,April 1,LP,"Prog-metal, Metalcore, Symphonic metal",Mixed,USA,BC,S,GP,YT,,🍎
Ceremony of Silence,Oútis,April 5,LP,"Prog-metal, Death metal, Black metal",Harsh,Slovakia,BC,S,GP,YT,Az,🍎
Latitudes,Part Island,April 5,LP,"Post-metal, Sludge metal, Doom metal",Harsh,UK,BC,S,GP,YT,Az,🍎
ORSO,Paninoteca,April 5,LP,"Prog-metal, Post-metal, Sludge metal",Instrumental,"Lausanne, Switzerland",BC,S,GP,YT,Az,🍎
Periphery,Periphery IV: Hail Stan,April 5,LP,"Prog-metal, Djent",Mixed,"Bethesda, MD",,S,GP,YT,Az,🍎
Waste of Space Orchestra,Syntheosis,April 5,LP,"Avant-garde, Atmospheric Sludge metal, Pschedelic, Doom metal, Black metal",Mixed,Finland,BC,S,GP,YT,Az,🍎
Palehørse,Palehørse,April 5,LP,"Prog-metal, alternative",Mixed,"Helsinki, Finland",,S,GP,YT,Az,🍎
Nullentropy,The Singularity Recital ,April 7,LP,"Prog-metal, Black metal, Death metal",Harsh,"Nantes, France",BC,S,GP,YT,Az,🍎
Final Coil,The World We Left Behind For Others,April 12,LP,"Prog-metal, Post-rock, Alternative",Clean,UK,BC,S,GP,YT,Az,🍎
Hath,Of Rot and Ruin,April 12,LP,"Prog-metal, Melodic Death Metal, Melodic Black Metal",Mixed,New Jersey,BC,S,GP,YT,Az,🍎
Hybrid Nightmares,Obelisk,April 12,EP,"Prog-metal, Black metal",Harsh,"Melbourne, Australia",BC,S,GP,YT,Az,🍎
Inferi,The End of An Era | Rebirth,April 12,LP,"Prog-metal, Technical Death metal",Harsh,"Nashville, TN",BC,S,GP,YT,Az,🍎
Inter Arma,Sulphur English,April 12,LP,"Prog-metal, Blackened Sludge metal, Psychedelic, Doom metal, Sludge metal",Mixed,"Richmond, VA",BC,S,GP,YT,Az,🍎
Merrow,Reading the Bones,April 12,LP,Prog-metal,Instrumental,"Portland, OR",,S,GP,YT,Az,🍎
