raw_subgenre_name,raw_subgenre_definition
MATH ROCK,
PROG FOLK,"In the wake of the 1960s, a Folk revival started on both sides of the Atlantic, and got quickly linked with a protest movement, not always, but often linked to more left-wing tendencies, which did not sit well with the authorities. BOB DYLAN, JOAN BAEZ, WOODY GUTHRIE, JOHN DENVER, BUFFY STE-MARIE, but also the FARINA couple Richard and Mimi for the US and SHIRLEY COLLINS and EWAN McCOLL (mentor of BERT JANSCH, JOHN RENBOURN for the UK and HUGUES AUFRAY in France. In Quebec, there was the ""Chansonniers"" phenomenon among which CLAUDE LEVEILLE and FELIX LECLERC were the most popular, waking up the sleepy ""Belle Province"" and stand up for itself from the English rule. The English part of Canada also brought up JONI MITCHELL, LEONARD COHEN (although he was from Montreal) and NEIL YOUNG."
PROGRESSIVE ELECTRONIC,"Born in the late 60's after the expansion of avant-gardist, modern, post-modern and minimalist experimentation, the progressive electronic movement immediately guides us into a musical adventure around technologies and new possibilities for composition. As an author or a searcher, the musician often creates his own modules and electronic combinations, deciding his own artistic and musical action. The visionary works of Stockhausen, Subotnick, John Cage (""concrete"" music, electro-acoustic experimentation), La Monte Young, Steve Reich, Terry Riley (minimal, micro-tonal music) express a vision of total reconstruction in the current musical world. Luminous works such as ""A Rainbow in Curved Air"" (1967) and ""Silver Apples of the Moon"" (1967) bring an inflexion on opened forms and new ways to explore the essence and the physical aspects of sounds (through time and space). ""Static"" textures, collages & long running sounds, the power of technology previously exposed in ambitious classical works will have a major impact in ""popular"" electronic music."
PROGRESSIVE METAL,"This category represents the core movement of what is called ""Progressive Metal"" in the literal sense. It is a subgenre of progressive rock as much as it is a subgenre of heavy metal, and this is how its sound is defined: a blend of heavy, guitar-oriented metal music enriched with compositional innovation and complex arrangements, usually expressed through diverse instrumentation and often (but not always) with odd-time signatures. Common, but not essential to define the movement, are the frequent use of keyboards, high-pitched vocals, concept lyrical themes and tracks of longer duration. Similar to progressive rock, progressive metal draws influences from other genres, such as jazz/fusion, ethnic, classical and symphonic music."
PSYCHEDELIC/SPACE ROCK,Psychedelic Progressive Rock
RIO/AVANT-PROG,Avant-Prog
ROCK PROGRESSIVO ITALIANO,"aka ""RPI"""
SYMPHONIC PROG,"Symphonic is without doubt the sub-genre that includes the most bands in Progressive Rock because for many people it's almost synonymous classic Prog, something easy to understand being that most of the classic and/or  pioneer bands released music that could be included in this sub-genre, except JETHRO TULL and PINK FLOYD (who still blended some symphonic elements), even KING CRIMSON who very soon expanded their horizons to more experimental music, made their debut with a Symphonic album, ""In the Court of the Crimson King"" which is a cornerstone in the development of the genre."
TECH/EXTREME PROG METAL,"This category lists technical Progressive Metal bands that have roots in Extreme Metal or that are strongly influenced by it. The style developed by the end of the 80s in the Thrash Metal scene when a number of bands stretched the boundaries of their sound by including elements from Progressive Rock. Death Metal followed a similar path in the 90s and by the 2000s, also Black Metal and Metalcore saw an increasing amount of bands taking in Prog influences."
ZEUHL,"Zeuhl is an adjective in Kobaïan, the language written by Christian Vander, drummer and founder of the French band Magma."
PROG RELATED,
PROTO-PROG,"The denomination Proto Prog comes from the combination of two words, Proto from the Greek The earliest,. and Prog which as we know is a short term for Progressive Rock, so as it's name clearly indicates, refers to the earliest form of Progressive Rock or Progressive Rock in embryonary state."
